,step,train_error,validation_error
0,0,0.84375,0.125
1,100,0.25,0.71875
2,200,0.0,0.71875
3,300,0.0625,1.0
4,400,0.0,1.0
5,500,0.0625,0.71875
6,600,0.0,0.90625
7,700,0.0,0.71875
8,800,0.0,0.8125
9,900,0.0625,1.0
10,1000,0.0,0.9375
11,1100,0.0625,0.875
12,1200,0.0625,0.71875
13,1300,0.0,0.71875
14,1400,0.0,0.5
15,1500,0.125,0.6875
16,1600,0.0,1.0
17,1700,0.0625,1.0
18,1800,0.0,1.0
19,1900,0.0,0.625
20,2000,0.0,0.5625
21,2100,0.0625,0.71875
22,2200,0.0625,0.75
23,2300,0.0,0.96875
24,2400,0.0,1.0
25,2500,0.0,0.5
26,2600,0.0,0.8125
27,2700,0.0,0.90625
28,2800,0.0625,0.96875
29,2900,0.0625,0.375
30,3000,0.0625,0.53125
31,3100,0.0625,0.78125
32,3200,0.0,0.875
33,3300,0.0625,0.375
34,3400,0.03125,0.71875
35,3500,0.0,0.6875
36,3600,0.0,0.5625
37,3700,0.0,0.5625
38,3800,0.0,0.5625
39,3900,0.0,0.8125
40,4000,0.0,0.40625
41,4100,0.0625,0.6875
42,4200,0.0,0.5
43,4300,0.0,0.53125
44,4400,0.0,0.71875
45,4500,0.0,0.6875
46,4600,0.0,0.40625
47,4700,0.0625,0.5625
48,4800,0.0,0.34375
49,4900,0.0625,0.65625
50,5000,0.0,0.5
51,5100,0.0,0.5625
52,5200,0.0,0.375
53,5300,0.0,1.0
54,5400,0.0625,0.71875
55,5500,0.0625,0.5625
56,5600,0.0,1.0
57,5700,0.0,0.6875
58,5800,0.0,0.5625
59,5900,0.0,0.71875
60,6000,0.0,0.5625
61,6100,0.0,0.3125
62,6200,0.0625,0.5625
63,6300,0.0,0.625
64,6400,0.0,0.5625
65,6500,0.0,1.0
66,6600,0.0,0.375
67,6700,0.0625,0.375
68,6800,0.0,0.625
69,6900,0.0,0.5625
70,7000,0.0,0.6875
71,7100,0.0,1.0
72,7200,0.0,0.6875
73,7300,0.0,0.5625
74,7400,0.0625,0.28125
75,7500,0.0,0.5625
76,7600,0.0,0.6875
77,7700,0.0625,1.0
78,7800,0.0,0.5625
79,7900,0.0625,0.5
80,8000,0.0625,0.28125
81,8100,0.0,0.875
82,8200,0.0,0.4375
83,8300,0.0625,0.59375
84,8400,0.0,0.5625
85,8500,0.0,0.6875
86,8600,0.03125,0.6875
87,8700,0.0,0.78125
88,8800,0.0625,0.53125
89,8900,0.0625,0.71875
90,9000,0.0,0.28125
91,9100,0.0625,0.5625
92,9200,0.0,0.6875
93,9300,0.0,1.0
94,9400,0.0625,0.6875
95,9500,0.0625,0.6875
96,9600,0.0,0.34375
97,9700,0.0,0.6875
98,9800,0.0,0.5
99,9900,0.0,1.0
