,step,train_error,validation_error
0,0,1.0,0.9375
1,100,1.0,0.375
2,200,0.9375,1.0
3,300,0.625,0.5
4,400,0.5,0.5
5,500,0.375,0.375
6,600,0.625,0.625
7,700,0.5625,0.125
8,800,0.125,0.75
9,900,0.5625,1.0
10,1000,0.375,0.625
11,1100,0.5625,0.6875
12,1200,0.5,0.6875
13,1300,0.4375,0.6875
14,1400,0.0625,0.8125
15,1500,0.1875,0.75
16,1600,0.125,0.75
17,1700,0.1875,0.8125
18,1800,0.0,0.75
19,1900,0.375,0.75
20,2000,0.125,0.8125
21,2100,0.1875,0.75
22,2200,0.125,0.9375
23,2300,0.0625,0.5
24,2400,0.125,0.875
25,2500,0.125,0.5
26,2600,0.125,0.5
27,2700,0.0,1.0
28,2800,0.0,0.9375
29,2900,0.4375,0.75
30,3000,0.0625,1.0
31,3100,0.0,1.0
32,3200,0.0,1.0
33,3300,0.125,1.0
34,3400,0.0,0.5
35,3500,0.0,0.75
36,3600,0.0,1.0
37,3700,0.0,1.0
38,3800,0.0,0.625
39,3900,0.0,0.875
40,4000,0.125,1.0
41,4100,0.0,0.75
42,4200,0.0625,0.625
43,4300,0.0625,1.0
44,4400,0.125,1.0
45,4500,0.0625,1.0
46,4600,0.0625,0.75
47,4700,0.375,1.0
48,4800,0.4375,1.0
49,4900,0.0,0.125
50,5000,0.0,0.875
51,5100,0.0,1.0
52,5200,0.125,1.0
53,5300,0.0,1.0
54,5400,0.125,1.0
55,5500,0.0,0.1875
56,5600,0.125,0.6875
57,5700,0.0,1.0
58,5800,0.0,1.0
59,5900,0.0,1.0
60,6000,0.0,0.5625
61,6100,0.125,0.75
62,6200,0.0,1.0
63,6300,0.0,1.0
64,6400,0.0,0.25
65,6500,0.0,1.0
66,6600,0.0,0.625
67,6700,0.0625,0.9375
68,6800,0.0,0.875
69,6900,0.0625,1.0
70,7000,0.0625,0.9375
71,7100,0.125,1.0
72,7200,0.0,1.0
73,7300,0.0,1.0
74,7400,0.0,0.6875
75,7500,0.125,1.0
76,7600,0.0,0.9375
77,7700,0.0,1.0
78,7800,0.0,0.8125
79,7900,0.125,0.9375
80,8000,0.0,1.0
81,8100,0.125,1.0
82,8200,0.0,1.0
83,8300,0.0,1.0
84,8400,0.125,1.0
85,8500,0.125,1.0
86,8600,0.0,0.875
87,8700,0.0,0.875
88,8800,0.0,1.0
89,8900,0.125,1.0
90,9000,0.0,0.9375
91,9100,0.0,1.0
92,9200,0.0,1.0
93,9300,0.125,1.0
94,9400,0.0,1.0
95,9500,0.0625,1.0
96,9600,0.0,0.8125
97,9700,0.0,1.0
98,9800,0.0,1.0
99,9900,0.0,0.6875
