,step,train_error,validation_error
0,0,1.0,1.0
1,100,0.03125,0.1875
2,200,0.0,0.15625
3,300,0.21875,0.0625
4,400,0.09375,0.15625
5,500,0.15625,0.15625
6,600,0.0625,0.21875
7,700,0.125,0.125
8,800,0.15625,0.0
9,900,0.0625,0.09375
10,1000,0.21875,0.09375
11,1100,0.0625,0.0625
12,1200,0.0625,0.1875
13,1300,0.0625,0.21875
14,1400,0.15625,0.15625
15,1500,0.15625,0.0625
16,1600,0.09375,0.15625
17,1700,0.0625,0.0625
18,1800,0.0625,0.15625
19,1900,0.0,0.0
20,2000,0.0625,0.0625
21,2100,0.0,0.0625
22,2200,0.0,0.21875
23,2300,0.15625,0.25
24,2400,0.15625,0.0625
25,2500,0.0,0.03125
26,2600,0.0,0.15625
27,2700,0.15625,0.15625
28,2800,0.15625,0.25
29,2900,0.25,0.0625
30,3000,0.0625,0.15625
31,3100,0.15625,0.25
32,3200,0.15625,0.15625
33,3300,0.15625,0.15625
34,3400,0.0625,0.15625
35,3500,0.0,0.0
36,3600,0.25,0.0625
37,3700,0.0625,0.0625
38,3800,0.15625,0.09375
39,3900,0.0625,0.09375
40,4000,0.0,0.15625
41,4100,0.15625,0.21875
42,4200,0.03125,0.09375
43,4300,0.0,0.09375
44,4400,0.25,0.25
45,4500,0.0625,0.0625
46,4600,0.0,0.15625
47,4700,0.0625,0.21875
48,4800,0.21875,0.0
49,4900,0.125,0.25
50,5000,0.0625,0.15625
51,5100,0.0625,0.21875
52,5200,0.15625,0.15625
53,5300,0.15625,0.25
54,5400,0.15625,0.1875
55,5500,0.25,0.0625
56,5600,0.21875,0.0625
57,5700,0.0,0.0625
58,5800,0.25,0.21875
59,5900,0.15625,0.1875
60,6000,0.25,0.25
61,6100,0.53125,0.59375
62,6200,0.3125,0.0625
63,6300,0.21875,0.15625
64,6400,0.0,0.0625
65,6500,0.21875,0.09375
66,6600,0.15625,0.21875
67,6700,0.0,0.15625
68,6800,0.03125,0.03125
69,6900,0.21875,0.0
70,7000,0.15625,0.25
71,7100,0.0,0.0
72,7200,0.09375,0.0
73,7300,0.0,0.0
74,7400,0.0,0.25
75,7500,0.0625,0.0625
76,7600,0.09375,0.1875
77,7700,0.0625,0.03125
78,7800,0.21875,0.0625
79,7900,0.03125,0.0625
80,8000,0.0625,0.15625
81,8100,0.25,0.0625
82,8200,0.21875,0.0
83,8300,0.15625,0.15625
84,8400,0.0625,0.0
85,8500,0.0625,0.0625
86,8600,0.15625,0.25
87,8700,0.0625,0.0625
88,8800,0.15625,0.0
89,8900,0.15625,0.15625
90,9000,0.21875,0.25
91,9100,0.0625,0.21875
92,9200,0.15625,0.15625
93,9300,0.0,0.0
94,9400,0.15625,0.0
95,9500,0.0,0.0
96,9600,0.15625,0.03125
97,9700,0.25,0.0625
98,9800,0.0625,0.0625
99,9900,0.0,0.0
