,step,train_error,validation_error
0,0,0.1875,0.0
1,100,1.0,0.5
2,200,0.8125,0.5625
3,300,0.1875,0.75
4,400,0.375,0.4375
5,500,0.6875,0.0
6,600,0.625,0.75
7,700,0.4375,0.75
8,800,0.375,0.9375
9,900,0.4375,0.625
10,1000,0.1875,0.625
11,1100,0.375,0.5
12,1200,0.625,0.75
13,1300,0.0,0.5625
14,1400,0.5,0.5625
15,1500,0.5625,0.5
16,1600,0.0625,0.5
17,1700,0.5625,0.5625
18,1800,0.1875,1.0
19,1900,0.1875,0.75
20,2000,0.25,0.625
21,2100,0.0,1.0
22,2200,0.0,0.5625
23,2300,0.1875,0.75
24,2400,0.0625,0.5625
25,2500,0.25,0.5625
26,2600,0.1875,0.25
27,2700,0.125,0.5
28,2800,0.125,0.8125
29,2900,0.0,0.75
30,3000,0.125,0.75
31,3100,0.1875,0.3125
32,3200,0.0625,0.75
33,3300,0.0,0.75
34,3400,0.125,0.5625
35,3500,0.4375,0.5
36,3600,0.0,0.75
37,3700,0.0625,0.5
38,3800,0.0625,1.0
39,3900,0.4375,1.0
40,4000,0.1875,0.6875
41,4100,0.0625,0.9375
42,4200,0.125,0.25
43,4300,0.125,0.0
44,4400,0.0625,0.875
45,4500,0.0,0.625
46,4600,0.125,0.8125
47,4700,0.0,0.9375
48,4800,0.1875,0.75
49,4900,0.375,0.75
50,5000,0.0,0.75
51,5100,0.25,0.8125
52,5200,0.125,0.4375
53,5300,0.1875,0.6875
54,5400,0.0625,1.0
55,5500,0.125,0.875
56,5600,0.0625,0.625
57,5700,0.125,1.0
58,5800,0.0,0.5625
59,5900,0.0,0.75
60,6000,0.1875,0.625
61,6100,0.0625,0.75
62,6200,0.375,1.0
63,6300,0.125,0.5625
64,6400,0.1875,0.625
65,6500,0.0,1.0
66,6600,0.0625,0.875
67,6700,0.4375,1.0
68,6800,0.125,0.8125
69,6900,0.0,0.9375
70,7000,0.0,0.9375
71,7100,0.3125,0.75
72,7200,0.0625,1.0
73,7300,0.125,0.75
74,7400,0.0625,1.0
75,7500,0.0,1.0
76,7600,0.0,1.0
77,7700,0.125,1.0
78,7800,0.0,0.75
79,7900,0.0,0.75
80,8000,0.125,0.875
81,8100,0.0,1.0
82,8200,0.25,1.0
83,8300,0.4375,0.625
84,8400,0.0625,0.75
85,8500,0.0,1.0
86,8600,0.0,0.9375
87,8700,0.0,0.75
88,8800,0.4375,1.0
89,8900,0.0,0.75
90,9000,0.4375,0.5625
91,9100,0.0,0.875
92,9200,0.1875,1.0
93,9300,0.0,1.0
94,9400,0.0,0.625
95,9500,0.0,0.875
96,9600,0.0,0.625
97,9700,0.0,1.0
98,9800,0.0,0.875
99,9900,0.0,1.0
