,step,train_error,validation_error
0,0,0.6875,0.96875
1,100,0.53125,0.765625
2,200,0.53125,0.6875
3,300,0.484375,0.671875
4,400,0.375,0.734375
5,500,0.34375,0.703125
6,600,0.3125,0.671875
7,700,0.28125,0.671875
8,800,0.15625,0.65625
9,900,0.21875,0.671875
10,1000,0.15625,0.734375
11,1100,0.140625,0.65625
12,1200,0.140625,0.640625
13,1300,0.125,0.640625
14,1400,0.15625,0.65625
15,1500,0.09375,0.65625
16,1600,0.078125,0.71875
17,1700,0.078125,0.65625
18,1800,0.078125,0.65625
19,1900,0.078125,0.609375
20,2000,0.078125,0.640625
21,2100,0.078125,0.640625
22,2200,0.15625,0.65625
23,2300,0.078125,0.609375
24,2400,0.0625,0.640625
25,2500,0.078125,0.65625
26,2600,0.078125,0.5625
27,2700,0.0625,0.609375
28,2800,0.078125,0.578125
29,2900,0.078125,0.65625
30,3000,0.140625,0.65625
31,3100,0.078125,0.53125
32,3200,0.078125,0.59375
33,3300,0.078125,0.640625
34,3400,0.078125,0.578125
35,3500,0.140625,0.609375
36,3600,0.09375,0.578125
37,3700,0.15625,0.515625
38,3800,0.109375,0.609375
39,3900,0.078125,0.515625
40,4000,0.078125,0.65625
41,4100,0.15625,0.546875
42,4200,0.15625,0.515625
43,4300,0.078125,0.640625
44,4400,0.078125,0.515625
45,4500,0.078125,0.59375
46,4600,0.15625,0.546875
47,4700,0.078125,0.640625
48,4800,0.140625,0.65625
49,4900,0.078125,0.5625
50,5000,0.140625,0.640625
51,5100,0.0625,0.59375
52,5200,0.140625,0.609375
53,5300,0.109375,0.625
54,5400,0.078125,0.65625
55,5500,0.0625,0.65625
56,5600,0.078125,0.640625
57,5700,0.078125,0.609375
58,5800,0.078125,0.640625
59,5900,0.078125,0.5625
60,6000,0.109375,0.578125
61,6100,0.078125,0.6875
62,6200,0.125,0.640625
63,6300,0.078125,0.640625
64,6400,0.078125,0.625
65,6500,0.109375,0.65625
66,6600,0.078125,0.703125
67,6700,0.140625,0.65625
68,6800,0.078125,0.578125
69,6900,0.109375,0.625
70,7000,0.078125,0.65625
71,7100,0.109375,0.5625
72,7200,0.078125,0.59375
73,7300,0.109375,0.6875
74,7400,0.078125,0.65625
75,7500,0.078125,0.640625
76,7600,0.078125,0.65625
77,7700,0.078125,0.5625
78,7800,0.15625,0.578125
79,7900,0.078125,0.6875
80,8000,0.15625,0.5625
81,8100,0.078125,0.59375
82,8200,0.078125,0.6875
83,8300,0.078125,0.65625
84,8400,0.078125,0.6875
85,8500,0.109375,0.703125
86,8600,0.109375,0.5625
87,8700,0.078125,0.59375
88,8800,0.109375,0.65625
89,8900,0.109375,0.59375
90,9000,0.078125,0.640625
91,9100,0.0625,0.703125
92,9200,0.078125,0.65625
93,9300,0.125,0.640625
94,9400,0.078125,0.578125
95,9500,0.109375,0.65625
96,9600,0.109375,0.65625
97,9700,0.15625,0.640625
98,9800,0.125,0.65625
99,9900,0.109375,0.671875
100,10000,0.078125,0.640625
101,10100,0.078125,0.640625
102,10200,0.078125,0.59375
103,10300,0.0625,0.609375
104,10400,0.078125,0.71875
105,10500,0.078125,0.5625
106,10600,0.109375,0.640625
107,10700,0.078125,0.65625
108,10800,0.078125,0.640625
109,10900,0.078125,0.703125
110,11000,0.125,0.640625
111,11100,0.078125,0.703125
112,11200,0.140625,0.71875
113,11300,0.0625,0.5625
114,11400,0.0625,0.640625
115,11500,0.109375,0.65625
116,11600,0.15625,0.703125
117,11700,0.078125,0.703125
118,11800,0.125,0.703125
119,11900,0.125,0.640625
120,12000,0.109375,0.703125
121,12100,0.125,0.671875
122,12200,0.078125,0.65625
123,12300,0.078125,0.640625
124,12400,0.078125,0.65625
125,12500,0.078125,0.640625
126,12600,0.078125,0.578125
127,12700,0.078125,0.65625
128,12800,0.109375,0.625
129,12900,0.078125,0.671875
130,13000,0.078125,0.625
131,13100,0.078125,0.640625
132,13200,0.140625,0.671875
133,13300,0.109375,0.671875
134,13400,0.078125,0.65625
135,13500,0.125,0.609375
