,step,train_error,validation_error
0,0,1.0,1.0
1,100,0.0,0.5625
2,200,0.125,0.1875
3,300,0.3125,0.28125
4,400,0.46875,0.125
5,500,0.0625,0.25
6,600,0.21875,0.21875
7,700,0.46875,0.46875
8,800,0.25,0.21875
9,900,0.28125,0.0
10,1000,0.21875,0.15625
11,1100,0.21875,0.28125
12,1200,0.15625,0.0
13,1300,0.15625,0.15625
14,1400,0.0,0.0
15,1500,0.46875,0.34375
16,1600,0.03125,0.0
17,1700,0.25,0.0
18,1800,0.0,0.21875
19,1900,0.21875,0.0
20,2000,0.0,0.15625
21,2100,0.21875,0.21875
22,2200,0.03125,0.0
23,2300,0.21875,0.21875
24,2400,0.0,0.0
25,2500,0.21875,0.15625
26,2600,0.0,0.1875
27,2700,0.0,0.0625
28,2800,0.0,0.15625
29,2900,0.15625,0.25
30,3000,0.15625,0.28125
31,3100,0.25,0.25
32,3200,0.25,0.0
33,3300,0.0,0.21875
34,3400,0.125,0.0
35,3500,0.28125,0.25
36,3600,0.0,0.03125
37,3700,0.0,0.15625
38,3800,0.0,0.15625
39,3900,0.21875,0.0
40,4000,0.15625,0.21875
41,4100,0.21875,0.28125
42,4200,0.28125,0.0
43,4300,0.0,0.0
44,4400,0.0,0.0
45,4500,0.28125,0.0
46,4600,0.25,0.15625
47,4700,0.21875,0.21875
48,4800,0.125,0.0
49,4900,0.0,0.125
50,5000,0.21875,0.0
51,5100,0.0,0.21875
52,5200,0.28125,0.125
53,5300,0.0,0.0625
54,5400,0.0,0.0
55,5500,0.0,0.0
56,5600,0.0,0.0
57,5700,0.0,0.3125
58,5800,0.0,0.0
59,5900,0.21875,0.0
60,6000,0.0,0.0
61,6100,0.0,0.25
62,6200,0.21875,0.21875
63,6300,0.25,0.0
64,6400,0.15625,0.125
65,6500,0.0,0.21875
66,6600,0.125,0.125
67,6700,0.0,0.25
68,6800,0.25,0.25
69,6900,0.0,0.15625
70,7000,0.0,0.0
71,7100,0.0,0.0
72,7200,0.28125,0.0
73,7300,0.0,0.21875
74,7400,0.0,0.0
75,7500,0.0,0.0
76,7600,0.0,0.21875
77,7700,0.25,0.28125
78,7800,0.25,0.40625
79,7900,0.25,0.0
80,8000,0.0,0.125
81,8100,0.0,0.25
82,8200,0.15625,0.28125
83,8300,0.0,0.0
84,8400,0.28125,0.28125
85,8500,0.0,0.0
86,8600,0.21875,0.0
87,8700,0.125,0.0
88,8800,0.0,0.0
89,8900,0.0,0.15625
90,9000,0.0,0.0
91,9100,0.0,0.28125
92,9200,0.0,0.15625
93,9300,0.0,0.0
94,9400,0.0,0.0
95,9500,0.25,0.21875
96,9600,0.0,0.0
97,9700,0.15625,0.0
98,9800,0.21875,0.15625
99,9900,0.0,0.0
100,10000,0.0,0.28125
101,10100,0.21875,0.0
102,10200,0.25,0.25
103,10300,0.125,0.1875
104,10400,0.0,0.28125
105,10500,0.0,0.15625
106,10600,0.0,0.0
107,10700,0.1875,0.21875
108,10800,0.0,0.125
109,10900,0.1875,0.25
110,11000,0.0,0.15625
111,11100,0.0,0.0
112,11200,0.0,0.0625
113,11300,0.125,0.21875
114,11400,0.21875,0.21875
115,11500,0.09375,0.0
116,11600,0.0,0.0
117,11700,0.21875,0.0
118,11800,0.28125,0.28125
119,11900,0.21875,0.21875
120,12000,0.4375,0.125
121,12100,0.0,0.0
122,12200,0.28125,0.21875
123,12300,0.0,0.28125
124,12400,0.0,0.28125
125,12500,0.375,0.15625
126,12600,0.0,0.15625
127,12700,0.0,0.0
128,12800,0.03125,0.28125
129,12900,0.25,0.15625
130,13000,0.28125,0.25
131,13100,0.25,0.0
132,13200,0.21875,0.21875
133,13300,0.0,0.0
134,13400,0.21875,0.0
135,13500,0.03125,0.25
136,13600,0.25,0.0
137,13700,0.28125,0.0
138,13800,0.03125,0.21875
139,13900,0.21875,0.25
140,14000,0.0,0.25
141,14100,0.0,0.21875
142,14200,0.0,0.0
143,14300,0.28125,0.0
144,14400,0.0,0.21875
145,14500,0.0,0.0
146,14600,0.0,0.0
147,14700,0.0,0.21875
148,14800,0.21875,0.125
149,14900,0.28125,0.25
150,15000,0.0,0.0
151,15100,0.0,0.25
152,15200,0.21875,0.21875
153,15300,0.21875,0.1875
154,15400,0.125,0.0
155,15500,0.25,0.25
156,15600,0.0,0.0
157,15700,0.0,0.125
158,15800,0.0,0.0
159,15900,0.0,0.0
160,16000,0.0,0.125
161,16100,0.0,0.15625
162,16200,0.0,0.125
163,16300,0.15625,0.125
164,16400,0.25,0.0
165,16500,0.0,0.0
166,16600,0.21875,0.0
167,16700,0.0,0.28125
168,16800,0.21875,0.15625
169,16900,0.0,0.0
170,17000,0.21875,0.0
171,17100,0.0,0.0625
172,17200,0.1875,0.15625
173,17300,0.25,0.25
174,17400,0.0,0.25
175,17500,0.15625,0.0
176,17600,0.125,0.0
177,17700,0.0,0.25
178,17800,0.0,0.0
179,17900,0.0,0.0
180,18000,0.25,0.0
