,step,train_error,validation_error
0,0,0.71875,1.0
1,100,0.90625,0.65625
2,200,0.15625,0.0625
3,300,0.0625,0.09375
4,400,0.15625,0.0625
5,500,0.3125,0.15625
6,600,0.15625,0.15625
7,700,0.21875,0.5
8,800,0.3125,0.0
9,900,0.0625,0.0625
10,1000,0.09375,0.0
11,1100,0.0625,0.125
12,1200,0.03125,0.0625
13,1300,0.21875,0.0
14,1400,0.0625,0.3125
15,1500,0.0,0.09375
16,1600,0.09375,0.0
17,1700,0.34375,0.34375
18,1800,0.0625,0.0
19,1900,0.0,0.25
20,2000,0.28125,0.21875
21,2100,0.0625,0.0
22,2200,0.0625,0.34375
23,2300,0.25,0.21875
24,2400,0.0625,0.0
25,2500,0.28125,0.0625
26,2600,0.0625,0.0625
27,2700,0.28125,0.0625
28,2800,0.0625,0.03125
29,2900,0.0625,0.21875
30,3000,0.0625,0.09375
31,3100,0.0625,0.09375
32,3200,0.0625,0.28125
33,3300,0.03125,0.28125
34,3400,0.0625,0.25
35,3500,0.125,0.03125
36,3600,0.03125,0.09375
37,3700,0.0625,0.125
38,3800,0.1875,0.25
39,3900,0.15625,0.1875
40,4000,0.125,0.25
41,4100,0.15625,0.0625
42,4200,0.21875,0.0625
43,4300,0.09375,0.0625
44,4400,0.0,0.0
45,4500,0.0625,0.0625
46,4600,0.0625,0.25
47,4700,0.0625,0.0
48,4800,0.09375,0.0625
49,4900,0.09375,0.25
50,5000,0.0625,0.0625
51,5100,0.28125,0.28125
52,5200,0.28125,0.0
53,5300,0.34375,0.0
54,5400,0.0,0.03125
55,5500,0.0625,0.21875
56,5600,0.1875,0.09375
57,5700,0.21875,0.21875
58,5800,0.0,0.21875
59,5900,0.0,0.0625
60,6000,0.28125,0.0625
61,6100,0.25,0.0625
62,6200,0.0625,0.1875
63,6300,0.25,0.0625
64,6400,0.0625,0.28125
65,6500,0.0625,0.0625
66,6600,0.125,0.0625
67,6700,0.25,0.28125
68,6800,0.25,0.28125
69,6900,0.28125,0.0
70,7000,0.0625,0.125
71,7100,0.0625,0.15625
72,7200,0.125,0.0
73,7300,0.28125,0.0625
74,7400,0.0,0.0
75,7500,0.03125,0.0625
76,7600,0.09375,0.0625
77,7700,0.0625,0.25
78,7800,0.0625,0.1875
79,7900,0.15625,0.0625
80,8000,0.28125,0.28125
81,8100,0.0625,0.15625
82,8200,0.0625,0.0625
83,8300,0.0625,0.15625
84,8400,0.0625,0.0
85,8500,0.0,0.0625
86,8600,0.15625,0.0
87,8700,0.0625,0.15625
88,8800,0.25,0.21875
89,8900,0.28125,0.0
90,9000,0.0625,0.0625
91,9100,0.25,0.0
92,9200,0.0,0.15625
93,9300,0.0,0.0625
94,9400,0.0625,0.0625
95,9500,0.15625,0.0
96,9600,0.0625,0.0625
97,9700,0.0625,0.0625
98,9800,0.1875,0.0625
99,9900,0.09375,0.0625
100,10000,0.03125,0.03125
101,10100,0.28125,0.28125
102,10200,0.0,0.15625
103,10300,0.09375,0.0625
104,10400,0.0,0.0625
105,10500,0.0625,0.0625
106,10600,0.0625,0.09375
107,10700,0.0625,0.0625
108,10800,0.21875,0.0625
109,10900,0.34375,0.28125
110,11000,0.0625,0.4375
111,11100,0.0625,0.28125
112,11200,0.0625,0.0625
113,11300,0.0,0.09375
114,11400,0.4375,0.28125
115,11500,0.0625,0.125
116,11600,0.0625,0.0
117,11700,0.15625,0.0
118,11800,0.15625,0.0625
119,11900,0.0625,0.0625
120,12000,0.28125,0.0625
121,12100,0.0625,0.0625
122,12200,0.0625,0.21875
123,12300,0.21875,0.25
124,12400,0.0625,0.0
125,12500,0.0625,0.0625
126,12600,0.0625,0.0625
127,12700,0.0625,0.0
128,12800,0.0625,0.0625
129,12900,0.0,0.0625
130,13000,0.1875,0.09375
131,13100,0.0625,0.21875
132,13200,0.25,0.0625
133,13300,0.0625,0.0
134,13400,0.1875,0.25
135,13500,0.15625,0.0
136,13600,0.0,0.0625
137,13700,0.25,0.25
138,13800,0.0625,0.0625
139,13900,0.125,0.28125
140,14000,0.0625,0.0625
141,14100,0.15625,0.0
142,14200,0.28125,0.15625
143,14300,0.0,0.0
144,14400,0.0625,0.0625
145,14500,0.0625,0.0625
146,14600,0.0,0.0
147,14700,0.21875,0.21875
148,14800,0.09375,0.0625
149,14900,0.0625,0.0625
150,15000,0.21875,0.0625
151,15100,0.03125,0.09375
152,15200,0.0625,0.25
153,15300,0.0,0.03125
154,15400,0.21875,0.0625
155,15500,0.09375,0.0625
156,15600,0.15625,0.0625
157,15700,0.0625,0.21875
158,15800,0.21875,0.0625
159,15900,0.1875,0.0625
160,16000,0.3125,0.0625
161,16100,0.0625,0.0
162,16200,0.0625,0.0
163,16300,0.21875,0.0625
164,16400,0.34375,0.0625
165,16500,0.15625,0.0625
166,16600,0.0,0.15625
167,16700,0.21875,0.21875
168,16800,0.0,0.0
169,16900,0.0,0.21875
170,17000,0.28125,0.0625
171,17100,0.0,0.21875
172,17200,0.125,0.09375
173,17300,0.25,0.0625
174,17400,0.0625,0.0625
175,17500,0.25,0.1875
176,17600,0.28125,0.0625
177,17700,0.15625,0.0625
178,17800,0.0625,0.25
179,17900,0.28125,0.0625
180,18000,0.21875,0.0625
181,18100,0.0,0.0625
182,18200,0.0625,0.21875
183,18300,0.1875,0.28125
184,18400,0.0,0.4375
185,18500,0.0625,0.15625
186,18600,0.0625,0.34375
187,18700,0.21875,0.0625
188,18800,0.0,0.0625
189,18900,0.21875,0.0625
190,19000,0.25,0.0625
191,19100,0.125,0.0625
192,19200,0.0,0.0625
193,19300,0.0625,0.0625
194,19400,0.28125,0.0
195,19500,0.0625,0.0625
196,19600,0.21875,0.40625
197,19700,0.21875,0.09375
198,19800,0.0625,0.0625
199,19900,0.0,0.25
200,20000,0.0625,0.0625
201,20100,0.21875,0.0625
202,20200,0.0,0.28125
203,20300,0.25,0.28125
204,20400,0.15625,0.0
205,20500,0.28125,0.09375
206,20600,0.0625,0.0625
207,20700,0.0625,0.21875
208,20800,0.0,0.28125
209,20900,0.0625,0.0625
210,21000,0.0625,0.0625
211,21100,0.21875,0.09375
212,21200,0.21875,0.0
213,21300,0.0625,0.0625
214,21400,0.21875,0.15625
215,21500,0.0625,0.0
216,21600,0.21875,0.0625
217,21700,0.0625,0.21875
218,21800,0.0,0.0625
219,21900,0.46875,0.21875
220,22000,0.0625,0.0625
221,22100,0.0625,0.21875
222,22200,0.09375,0.21875
223,22300,0.09375,0.0
224,22400,0.03125,0.0625
225,22500,0.0625,0.0625
226,22600,0.0625,0.28125
227,22700,0.0625,0.0625
228,22800,0.125,0.0625
229,22900,0.0625,0.0
230,23000,0.28125,0.0625
231,23100,0.0,0.25
232,23200,0.15625,0.0625
233,23300,0.15625,0.40625
234,23400,0.0625,0.25
235,23500,0.0625,0.0
236,23600,0.0625,0.0625
237,23700,0.0,0.15625
238,23800,0.0625,0.28125
239,23900,0.0,0.0
240,24000,0.15625,0.4375
241,24100,0.03125,0.15625
242,24200,0.0625,0.0625
243,24300,0.0625,0.28125
244,24400,0.0625,0.0625
245,24500,0.0,0.0625
246,24600,0.40625,0.15625
247,24700,0.0625,0.0
248,24800,0.0625,0.0625
249,24900,0.0,0.09375
250,25000,0.15625,0.125
251,25100,0.28125,0.21875
252,25200,0.25,0.03125
253,25300,0.28125,0.15625
254,25400,0.0625,0.03125
255,25500,0.0,0.09375
256,25600,0.15625,0.0
257,25700,0.03125,0.25
258,25800,0.0625,0.0625
259,25900,0.09375,0.0
260,26000,0.03125,0.25
261,26100,0.0625,0.0
262,26200,0.0625,0.0625
263,26300,0.0,0.25
264,26400,0.0625,0.0625
265,26500,0.0,0.125
266,26600,0.0625,0.125
267,26700,0.0625,0.1875
268,26800,0.0625,0.0
269,26900,0.21875,0.0625
270,27000,0.15625,0.0625
271,27100,0.0,0.0625
272,27200,0.0,0.0625
273,27300,0.125,0.03125
274,27400,0.0625,0.0625
275,27500,0.0625,0.0
276,27600,0.21875,0.1875
277,27700,0.0625,0.1875
278,27800,0.0,0.0
279,27900,0.0625,0.0625
280,28000,0.125,0.0
281,28100,0.0,0.0625
282,28200,0.28125,0.25
283,28300,0.28125,0.0625
284,28400,0.15625,0.03125
285,28500,0.0,0.03125
286,28600,0.0625,0.0625
287,28700,0.0625,0.0625
288,28800,0.0625,0.25
289,28900,0.0,0.03125
290,29000,0.09375,0.0
291,29100,0.21875,0.03125
292,29200,0.0625,0.375
293,29300,0.0625,0.0625
294,29400,0.0,0.125
295,29500,0.0625,0.15625
296,29600,0.15625,0.0625
297,29700,0.0,0.15625
298,29800,0.21875,0.0
299,29900,0.0625,0.28125
300,30000,0.0,0.0
301,30100,0.0,0.0625
302,30200,0.0625,0.28125
303,30300,0.15625,0.25
304,30400,0.0625,0.0625
305,30500,0.0625,0.21875
306,30600,0.0625,0.03125
307,30700,0.21875,0.0625
308,30800,0.25,0.0625
309,30900,0.28125,0.21875
310,31000,0.0625,0.4375
311,31100,0.0,0.125
312,31200,0.0625,0.21875
313,31300,0.21875,0.25
314,31400,0.03125,0.25
315,31500,0.0625,0.28125
316,31600,0.0625,0.25
317,31700,0.0625,0.0625
318,31800,0.28125,0.0625
319,31900,0.0625,0.0625
320,32000,0.0,0.15625
321,32100,0.0625,0.0625
322,32200,0.15625,0.0625
323,32300,0.0,0.28125
324,32400,0.21875,0.0
325,32500,0.21875,0.0625
326,32600,0.25,0.25
327,32700,0.15625,0.0625
328,32800,0.15625,0.34375
329,32900,0.09375,0.09375
330,33000,0.21875,0.21875
331,33100,0.15625,0.09375
332,33200,0.1875,0.15625
333,33300,0.28125,0.21875
334,33400,0.28125,0.15625
335,33500,0.0625,0.0
336,33600,0.0625,0.0625
337,33700,0.25,0.0
338,33800,0.03125,0.0
339,33900,0.0,0.0625
340,34000,0.0,0.09375
341,34100,0.0625,0.21875
342,34200,0.28125,0.0625
343,34300,0.0625,0.21875
344,34400,0.21875,0.0
345,34500,0.28125,0.25
346,34600,0.15625,0.21875
347,34700,0.0625,0.0
348,34800,0.15625,0.0625
349,34900,0.03125,0.0625
350,35000,0.03125,0.0625
351,35100,0.15625,0.21875
352,35200,0.0625,0.0
353,35300,0.0625,0.0625
354,35400,0.25,0.0625
355,35500,0.21875,0.1875
356,35600,0.1875,0.25
357,35700,0.125,0.21875
358,35800,0.0,0.09375
359,35900,0.09375,0.0625
360,36000,0.4375,0.0625
361,36100,0.0625,0.0
362,36200,0.0625,0.0
363,36300,0.0,0.21875
364,36400,0.125,0.21875
365,36500,0.21875,0.0625
366,36600,0.28125,0.25
367,36700,0.03125,0.1875
368,36800,0.0625,0.0625
369,36900,0.0625,0.0625
370,37000,0.0625,0.0625
371,37100,0.21875,0.0625
372,37200,0.21875,0.15625
373,37300,0.21875,0.21875
374,37400,0.1875,0.15625
375,37500,0.0,0.0625
376,37600,0.0625,0.21875
377,37700,0.0625,0.0625
378,37800,0.0,0.0625
379,37900,0.0625,0.25
380,38000,0.0,0.0625
381,38100,0.0625,0.0
382,38200,0.0,0.0625
383,38300,0.25,0.0
384,38400,0.0,0.0625
385,38500,0.25,0.21875
386,38600,0.28125,0.25
387,38700,0.0625,0.0
388,38800,0.0625,0.09375
389,38900,0.21875,0.0625
390,39000,0.21875,0.0
391,39100,0.0625,0.28125
392,39200,0.0,0.0625
393,39300,0.21875,0.21875
394,39400,0.0625,0.03125
395,39500,0.0625,0.0
396,39600,0.09375,0.125
397,39700,0.0625,0.0625
398,39800,0.0625,0.0625
399,39900,0.0625,0.25
400,40000,0.0625,0.0625
401,40100,0.1875,0.0625
402,40200,0.0625,0.0625
403,40300,0.15625,0.03125
404,40400,0.0625,0.0625
405,40500,0.0625,0.0625
406,40600,0.0625,0.0625
407,40700,0.0625,0.15625
408,40800,0.0,0.0
409,40900,0.0,0.0625
410,41000,0.125,0.0625
411,41100,0.21875,0.125
412,41200,0.09375,0.0625
413,41300,0.03125,0.0625
414,41400,0.0625,0.0625
415,41500,0.28125,0.0625
416,41600,0.0,0.0625
417,41700,0.0,0.0625
418,41800,0.0,0.0625
419,41900,0.0625,0.0
420,42000,0.15625,0.15625
421,42100,0.0625,0.28125
422,42200,0.0,0.0625
423,42300,0.21875,0.0625
424,42400,0.03125,0.0625
425,42500,0.0,0.0625
426,42600,0.21875,0.21875
427,42700,0.28125,0.21875
428,42800,0.28125,0.0625
429,42900,0.28125,0.0625
430,43000,0.125,0.0625
431,43100,0.15625,0.0625
432,43200,0.0625,0.0625
433,43300,0.125,0.03125
434,43400,0.25,0.0625
435,43500,0.0,0.0
436,43600,0.0,0.0
437,43700,0.28125,0.03125
438,43800,0.1875,0.0625
439,43900,0.03125,0.15625
440,44000,0.28125,0.21875
441,44100,0.0625,0.25
442,44200,0.0625,0.0625
443,44300,0.0625,0.28125
444,44400,0.0,0.09375
445,44500,0.0625,0.21875
446,44600,0.0625,0.21875
447,44700,0.03125,0.25
448,44800,0.25,0.21875
449,44900,0.0,0.0625
450,45000,0.03125,0.03125
451,45100,0.15625,0.15625
452,45200,0.0625,0.0625
453,45300,0.0,0.25
454,45400,0.28125,0.0625
455,45500,0.0625,0.1875
456,45600,0.0625,0.09375
457,45700,0.0625,0.15625
458,45800,0.0625,0.15625
459,45900,0.0625,0.125
460,46000,0.0,0.28125
461,46100,0.21875,0.0625
462,46200,0.0625,0.21875
463,46300,0.0625,0.0625
464,46400,0.0625,0.25
465,46500,0.0625,0.28125
466,46600,0.0625,0.0625
467,46700,0.28125,0.0625
468,46800,0.0625,0.0625
469,46900,0.0,0.0
470,47000,0.1875,0.0625
471,47100,0.09375,0.0
472,47200,0.21875,0.21875
473,47300,0.0,0.0
474,47400,0.0625,0.0625
475,47500,0.09375,0.0625
476,47600,0.09375,0.28125
477,47700,0.15625,0.28125
478,47800,0.0625,0.0
479,47900,0.03125,0.0
480,48000,0.0,0.0625
481,48100,0.0,0.0
482,48200,0.0625,0.15625
483,48300,0.0625,0.03125
484,48400,0.15625,0.28125
485,48500,0.0,0.125
486,48600,0.21875,0.0
487,48700,0.0,0.0
488,48800,0.0,0.0625
489,48900,0.15625,0.125
490,49000,0.0625,0.0625
491,49100,0.0625,0.21875
492,49200,0.03125,0.0625
493,49300,0.21875,0.21875
494,49400,0.0625,0.15625
495,49500,0.0625,0.0
496,49600,0.0625,0.28125
497,49700,0.0625,0.28125
498,49800,0.1875,0.0
499,49900,0.0625,0.0625
500,50000,0.0,0.0625
