"","subj_name","avg_num_targets","num_targets","freq","random_rate"
"1","S024",3.16758544652701,1,24,31.57
"2","S024",3.16758544652701,2,151,31.57
"3","S024",3.16758544652701,3,381,31.57
"4","S024",3.16758544652701,4,351,31.57
"5","S026",3.29545454545455,2,6,30.345
"6","S026",3.29545454545455,3,19,30.345
"7","S026",3.29545454545455,4,19,30.345
"8","S028",3.05208333333333,1,6,32.765
"9","S028",3.05208333333333,2,21,32.765
"10","S028",3.05208333333333,3,31,32.765
"11","S028",3.05208333333333,4,38,32.765
"12","S030",3.17536612842659,1,147,31.492
"13","S030",3.17536612842659,2,841,31.492
"14","S030",3.17536612842659,3,2269,31.492
"15","S030",3.17536612842659,4,2069,31.492
"16","S031",3,2,3,33.333
"17","S031",3,3,8,33.333
"18","S031",3,4,3,33.333
"19","S033",3.12863070539419,1,9,31.963
"20","S033",3.12863070539419,2,42,31.963
"21","S033",3.12863070539419,3,99,31.963
"22","S033",3.12863070539419,4,91,31.963
"23","S035",2.97959183673469,1,4,33.562
"24","S035",2.97959183673469,2,21,33.562
"25","S035",2.97959183673469,3,46,33.562
"26","S035",2.97959183673469,4,27,33.562
"27","S036",2.96969696969697,1,1,33.673
"28","S036",2.96969696969697,2,8,33.673
"29","S036",2.96969696969697,3,15,33.673
"30","S036",2.96969696969697,4,9,33.673
"31","S037",3.18181818181818,2,4,31.429
"32","S037",3.18181818181818,3,28,31.429
"33","S037",3.18181818181818,4,12,31.429
"34","S040",3.17244897959184,1,27,31.521
"35","S040",3.17244897959184,2,164,31.521
"36","S040",3.17244897959184,3,402,31.521
"37","S040",3.17244897959184,4,387,31.521
"38","S042",3.5,2,1,28.571
"39","S042",3.5,3,2,28.571
"40","S042",3.5,4,5,28.571
"41","S043",3.20408163265306,1,3,31.21
"42","S043",3.20408163265306,2,15,31.21
"43","S043",3.20408163265306,3,39,31.21
"44","S043",3.20408163265306,4,41,31.21
"45","S045",3.10526315789474,1,1,32.203
"46","S045",3.10526315789474,2,2,32.203
"47","S045",3.10526315789474,3,10,32.203
"48","S045",3.10526315789474,4,6,32.203
"49","S046",3.10344827586207,1,1,32.222
"50","S046",3.10344827586207,2,5,32.222
"51","S046",3.10344827586207,3,13,32.222
"52","S046",3.10344827586207,4,10,32.222
"53","S050",3.17760617760618,1,6,31.47
"54","S050",3.17760617760618,2,39,31.47
"55","S050",3.17760617760618,3,117,31.47
"56","S050",3.17760617760618,4,97,31.47
"57","S051",3.10434782608696,1,5,32.213
"58","S051",3.10434782608696,2,20,32.213
"59","S051",3.10434782608696,3,48,32.213
"60","S051",3.10434782608696,4,42,32.213
"61","S052",3.16304347826087,1,4,31.615
"62","S052",3.16304347826087,2,12,31.615
"63","S052",3.16304347826087,3,41,31.615
"64","S052",3.16304347826087,4,35,31.615
"65","S053",3.21009918845807,1,33,31.152
"66","S053",3.21009918845807,2,156,31.152
"67","S053",3.21009918845807,3,465,31.152
"68","S053",3.21009918845807,4,455,31.152
"69","S055",3.18085106382979,1,4,31.438
"70","S055",3.18085106382979,2,13,31.438
"71","S055",3.18085106382979,3,39,31.438
"72","S055",3.18085106382979,4,38,31.438
"73","S058",3.17105263157895,1,2,31.535
"74","S058",3.17105263157895,2,16,31.535
"75","S058",3.17105263157895,3,25,31.535
"76","S058",3.17105263157895,4,33,31.535
"77","S059",3.16115912557194,1,72,31.634
"78","S059",3.16115912557194,2,319,31.634
"79","S059",3.16115912557194,3,796,31.634
"80","S059",3.16115912557194,4,780,31.634
"81","S060",3.15,2,6,31.746
"82","S060",3.15,3,5,31.746
"83","S060",3.15,4,9,31.746
"84","S061",3.201189296333,1,28,31.238
"85","S061",3.201189296333,2,151,31.238
"86","S061",3.201189296333,3,420,31.238
"87","S061",3.201189296333,4,410,31.238
"88","S062",3.1098376313276,1,32,32.156
"89","S062",3.1098376313276,2,196,32.156
"90","S062",3.1098376313276,3,444,32.156
"91","S062",3.1098376313276,4,375,32.156
"92","S063",3.1533203125,1,31,31.713
"93","S063",3.1533203125,2,175,31.713
"94","S063",3.1533203125,3,424,31.713
"95","S063",3.1533203125,4,394,31.713
"96","S065",3.16827852998066,1,32,31.563
"97","S065",3.16827852998066,2,162,31.563
"98","S065",3.16827852998066,3,440,31.563
"99","S065",3.16827852998066,4,400,31.563
"100","S066",3.18305084745763,1,14,31.416
"101","S066",3.18305084745763,2,132,31.416
"102","S066",3.18305084745763,3,417,31.416
"103","S066",3.18305084745763,4,322,31.416
"104","S067",3.13953488372093,1,28,31.852
"105","S067",3.13953488372093,2,188,31.852
"106","S067",3.13953488372093,3,428,31.852
"107","S067",3.13953488372093,4,388,31.852
"108","S069",3.1788908765653,1,15,31.458
"109","S069",3.1788908765653,2,83,31.458
"110","S069",3.1788908765653,3,248,31.458
"111","S069",3.1788908765653,4,213,31.458
