,subj,total_duration_sec,mean_duration_sec,total_files,total_duration_min,,,augmented,over 1000,over 500
1,S024,7049,7.938063063,888,117,,,7104,1,1
2,S026,789,21.32432432,37,13,,,296,0,0
3,S028,873,8.818181818,99,15,,,792,0,1
4,S030,29580,5.669925244,5217,493,,,41736,1,1
5,S031,223,18.58333333,12,4,,,96,0,0
6,S033,2920,12.5862069,232,49,,,1856,1,1
7,S035,592,6.040816327,98,10,,,784,0,1
8,S036,331,10.34375,32,6,,,256,0,0
9,S037,680,17.89473684,38,11,,,304,0,0
10,S040,6011,6.133673469,980,100,,,7840,1,1
11,S043,852,9.906976744,86,14,,,688,0,1
12,S045,243,14.29411765,17,4,,,136,0,0
13,S046,257,9.178571429,28,4,,,224,0,0
14,S050,1832,7.019157088,261,31,,,2088,1,1
15,S051,970,8.50877193,114,16,,,912,0,1
16,S052,531,5.835164835,91,9,,,728,0,1
17,S053,7752,6.915254237,1121,129,,,8968,1,1
18,S055,976,10.06185567,97,16,,,776,0,1
19,S058,1474,21.36231884,69,25,,,552,0,1
20,S059,14920,7.616130679,1959,249,,,15672,1,1
21,S060,110,5.789473684,19,2,,,152,0,0
22,S061,10103,10.2360689,987,168,,,7896,1,1
23,S062,5873,5.696411251,1031,98,,,8248,1,1
24,S063,8281,8.15862069,1015,138,,,8120,1,1
25,S065,8725,8.405587669,1038,145,,,8304,1,1
26,S066,5136,5.751399776,893,86,,,7144,1,1
27,S067,6010,6.052366566,993,100,,,7944,1,1
,,,,,,,,,13,20
