,target_name,social_reward,path,energy_cost,total_score,final_target,simulation_index
0,C,0.0977279399473731,0.19230769230769232,0.45740608139494804,-0.35967814144757493,F,1
1,D,0.10410836529312936,0.3076923076923077,0.5232122209664899,-0.4191038556733605,F,1
2,E,0.11412281943722945,0.2692307692307692,0.5096766758686314,-0.39555385643140195,F,1
3,F,0.15897983887526612,0.23076923076923078,0.48818705017383146,-0.32920721129856534,F,1
0,C,0.0977279399473731,0.21875,0.4796411107998991,-0.38191317085252596,E,2
1,D,0.10410836529312936,0.3125,0.5243974703476992,-0.42028910505456984,E,2
2,E,0.11412281943722945,0.15625,0.4184487351738497,-0.3043259157366202,E,2
3,F,0.15897983887526612,0.3125,0.5243974703476992,-0.3654176314724331,E,2
0,C,0.0977279399473731,0.36,0.5306152277996684,-0.4328872878522953,E,3
1,D,0.10410836529312936,0.16,0.42301699036395596,-0.3189086250708266,E,3
2,E,0.11412281943722945,0.12,0.3670672426864282,-0.25294442324919875,E,3
3,F,0.15897983887526612,0.36,0.5306152277996684,-0.3716353889244023,E,3
0,C,0.0977279399473731,0.11764705882352941,0.36323092250003997,-0.26550298255266686,C,4
1,D,0.10410836529312936,0.17647058823529413,0.44161770715220877,-0.33750934185907944,C,4
2,E,0.11412281943722945,0.4117647058823529,0.5271032608440674,-0.412980441406838,C,4
3,F,0.15897983887526612,0.29411764705882354,0.5192749254008756,-0.3602950865256095,C,4
0,C,0.0977279399473731,0.3548387096774194,0.5304003744917857,-0.43267243454441257,E,5
1,D,0.10410836529312936,0.2903225806451613,0.5180142509839053,-0.4139058856907759,E,5
2,E,0.11412281943722945,0.12903225806451613,0.3811866206950807,-0.26706380125785123,E,5
3,F,0.15897983887526612,0.22580645161290322,0.48477063607435156,-0.32579079719908544,E,5
0,C,0.0977279399473731,0.24324324324324326,0.4961014939913443,-0.3983735540439712,E,6
1,D,0.10410836529312936,0.35135135135135137,0.5301939842524905,-0.42608561895936115,E,6
2,E,0.11412281943722945,0.13513513513513514,0.3902061176677821,-0.27608329823055267,E,6
3,F,0.15897983887526612,0.2702702702702703,0.5101419650652939,-0.35116212619002773,E,6
0,C,0.0977279399473731,0.21951219512195122,0.48021080557516926,-0.38248286562779615,D,7
1,D,0.10410836529312936,0.14634146341463414,0.40574480544833086,-0.3016364401552015,D,7
2,E,0.11412281943722945,0.34146341463414637,0.529335589166993,-0.4152127697297635,D,7
3,F,0.15897983887526612,0.2926829268292683,0.5188066840673935,-0.3598268451921274,D,7
0,C,0.0977279399473731,0.41379310344827586,0.5267662735474825,-0.4290383336001094,D,8
1,D,0.10410836529312936,0.10344827586206896,0.33858812011100853,-0.23447975481787917,D,8
2,E,0.11412281943722945,0.13793103448275862,0.39420427519000995,-0.2800814557527805,D,8
3,F,0.15897983887526612,0.3448275862068966,0.5296734138759344,-0.37069357500066824,D,8
0,C,0.0977279399473731,0.36,0.5306152277996684,-0.4328872878522953,E,9
1,D,0.10410836529312936,0.24,0.4941344853728565,-0.39002612007972715,E,9
2,E,0.11412281943722945,0.12,0.3670672426864282,-0.25294442324919875,E,9
3,F,0.15897983887526612,0.28,0.5142203549607938,-0.35524051608552765,E,9
0,C,0.0977279399473731,0.2,0.46438561897747244,-0.3666576790300993,D,10
1,D,0.10410836529312936,0.15,0.4105448391249309,-0.3064364738318015,D,10
2,E,0.11412281943722945,0.325,0.5269837224425379,-0.4128609030053084,D,10
3,F,0.15897983887526612,0.325,0.5269837224425379,-0.36800388356727176,D,10
0,C,0.0977279399473731,0.23333333333333334,0.48989165716188005,-0.39216371721450693,D,11
1,D,0.10410836529312936,0.16666666666666666,0.430827083453526,-0.32671871816039666,D,11
2,E,0.11412281943722945,0.26666666666666666,0.5085041588289383,-0.39438133939170883,D,11
3,F,0.15897983887526612,0.3333333333333333,0.5283208335737187,-0.3693409946984526,D,11
0,C,0.0977279399473731,0.16,0.42301699036395596,-0.32528905041658285,C,12
1,D,0.10410836529312936,0.32,0.5260339807279119,-0.42192561543478246,C,12
2,E,0.11412281943722945,0.28,0.5142203549607938,-0.4000975355235643,C,12
3,F,0.15897983887526612,0.24,0.4941344853728565,-0.33515464649759036,C,12
0,C,0.0977279399473731,0.21428571428571427,0.4762269474292389,-0.37849900748186577,E,13
1,D,0.10410836529312936,0.17857142857142858,0.44382621913754317,-0.3397178538444138,E,13
2,E,0.11412281943722945,0.17857142857142858,0.44382621913754317,-0.3297033997003137,E,13
3,F,0.15897983887526612,0.42857142857142855,0.5238824662870492,-0.36490262741178303,E,13
0,C,0.0977279399473731,0.2894736842105263,0.5177224958649782,-0.4199945559176051,F,14
1,D,0.10410836529312936,0.42105263157894735,0.5254431635551939,-0.42133479826206455,F,14
2,E,0.11412281943722945,0.18421052631578946,0.44957916157110184,-0.3354563421338724,F,14
3,F,0.15897983887526612,0.10526315789473684,0.34188710667827216,-0.18290726780300604,F,14
0,C,0.0977279399473731,0.34146341463414637,0.529335589166993,-0.43160764921961986,F,15
1,D,0.10410836529312936,0.3902439024390244,0.5297763920460814,-0.425668026752952,F,15
2,E,0.11412281943722945,0.21951219512195122,0.48021080557516926,-0.3660879861379398,F,15
3,F,0.15897983887526612,0.04878048780487805,0.21256351242039434,-0.05358367354512822,F,15
0,C,0.0977279399473731,0.37142857142857144,0.5307132252700104,-0.4329852853226373,E,16
1,D,0.10410836529312936,0.11428571428571428,0.3576323447937104,-0.25352397950058103,E,16
2,E,0.11412281943722945,0.05714285714285714,0.23595902953971234,-0.1218362101024829,E,16
3,F,0.15897983887526612,0.45714285714285713,0.5162436648891275,-0.3572638260138614,E,16
0,C,0.0977279399473731,0.25,0.5,-0.4022720600526269,F,17
1,D,0.10410836529312936,0.20833333333333334,0.47146550121537373,-0.3673571359222444,F,17
2,E,0.11412281943722945,0.4166666666666667,0.5262643357640807,-0.41214151632685125,F,17
3,F,0.15897983887526612,0.125,0.375,-0.21602016112473388,F,17
0,C,0.0977279399473731,0.2222222222222222,0.48220555587606945,-0.38447761592869634,F,18
1,D,0.10410836529312936,0.25925925925925924,0.5049158541015204,-0.400807488808391,F,18
2,E,0.11412281943722945,0.3333333333333333,0.5283208335737187,-0.41419801413648927,F,18
3,F,0.15897983887526612,0.18518518518518517,0.45054803838446417,-0.29156819950919804,F,18
0,C,0.0977279399473731,0.17777777777777778,0.44299610601416445,-0.34526816606679134,F,19
1,D,0.10410836529312936,0.26666666666666666,0.5085041588289383,-0.4043957935358089,F,19
2,E,0.11412281943722945,0.3333333333333333,0.5283208335737187,-0.41419801413648927,F,19
3,F,0.15897983887526612,0.2222222222222222,0.48220555587606945,-0.3232257170008033,F,19
0,C,0.0977279399473731,0.30952380952380953,0.5236764323878497,-0.42594849244047656,E,20
1,D,0.10410836529312936,0.21428571428571427,0.4762269474292389,-0.3721185821361095,E,20
2,E,0.11412281943722945,0.14285714285714285,0.40105070315108626,-0.2869278837138568,E,20
3,F,0.15897983887526612,0.3333333333333333,0.5283208335737187,-0.3693409946984526,E,20
0,C,0.0977279399473731,0.32432432432432434,0.5268619021322574,-0.42913396218488425,D,21
1,D,0.10410836529312936,0.13513513513513514,0.3902061176677821,-0.28609775237465274,D,21
2,E,0.11412281943722945,0.2702702702702703,0.5101419650652939,-0.3960191456280644,D,21
3,F,0.15897983887526612,0.2702702702702703,0.5101419650652939,-0.35116212619002773,D,21
0,C,0.0977279399473731,0.061224489795918366,0.2467192251057583,-0.14899128515838522,C,22
1,D,0.10410836529312936,0.3673469387755102,0.5307372891451454,-0.426628923852016,C,22
2,E,0.11412281943722945,0.20408163265306123,0.46791464269956035,-0.3537918232623309,C,22
3,F,0.15897983887526612,0.3673469387755102,0.5307372891451454,-0.3717574502698793,C,22
0,C,0.0977279399473731,0.30434782608695654,0.5223238799128636,-0.42459593996549044,F,23
1,D,0.10410836529312936,0.1956521739130435,0.4604941867724414,-0.3563858214793121,F,23
2,E,0.11412281943722945,0.2826086956521739,0.5152301976718906,-0.40110737823466114,F,23
