,target_name,social_reward,path,energy_cost,total_score,final_target,simulation_index
0,C,14.8470896594226,13.0,13.0,1.8470896594226005,E,1
1,D,12.8229128937237,8.0,8.0,4.8229128937237,E,1
2,E,15.3475384674966,5.0,5.0,10.3475384674966,E,1
3,F,15.0497023314238,6.0,6.0,9.0497023314238,E,1
0,D,12.8229128937237,12.0,12.0,0.8229128937237,E,2
1,E,15.3475384674966,8.0,8.0,7.3475384674966,E,2
0,C,14.8470896594226,8.0,8.0,6.8470896594226005,E,3
1,D,12.8229128937237,16.0,16.0,-3.1770871062763,E,3
2,E,15.3475384674966,3.0,3.0,12.3475384674966,E,3
0,C,14.8470896594226,15.0,15.0,-0.1529103405773995,E,4
1,D,12.8229128937237,17.0,17.0,-4.1770871062763,E,4
2,E,15.3475384674966,6.0,6.0,9.3475384674966,E,4
3,F,15.0497023314238,13.0,13.0,2.0497023314238003,E,4
0,D,12.8229128937237,5.0,5.0,7.8229128937237,D,5
0,D,12.8229128937237,4.0,4.0,8.8229128937237,E,6
1,E,15.3475384674966,6.0,6.0,9.3475384674966,E,6
0,C,14.8470896594226,10.0,10.0,4.8470896594226005,F,7
1,D,12.8229128937237,13.0,13.0,-0.17708710627629998,F,7
2,E,15.3475384674966,18.0,18.0,-2.6524615325034,F,7
3,F,15.0497023314238,2.0,2.0,13.0497023314238,F,7
0,C,14.8470896594226,15.0,15.0,-0.1529103405773995,F,8
1,E,15.3475384674966,15.0,15.0,0.3475384674965998,F,8
2,F,15.0497023314238,4.0,4.0,11.0497023314238,F,8
0,D,12.8229128937237,10.0,10.0,2.8229128937237,F,9
1,F,15.0497023314238,10.0,10.0,5.0497023314238,F,9
0,D,12.8229128937237,2.0,2.0,10.8229128937237,D,10
0,D,12.8229128937237,16.0,16.0,-3.1770871062763,F,11
1,F,15.0497023314238,2.0,2.0,13.0497023314238,F,11
0,C,14.8470896594226,13.0,13.0,1.8470896594226005,F,12
1,D,12.8229128937237,10.0,10.0,2.8229128937237,F,12
2,F,15.0497023314238,5.0,5.0,10.0497023314238,F,12
0,D,12.8229128937237,9.0,9.0,3.8229128937237,D,13
1,E,15.3475384674966,12.0,12.0,3.3475384674966,D,13
0,E,15.3475384674966,5.0,5.0,10.3475384674966,E,14
1,F,15.0497023314238,7.0,7.0,8.0497023314238,E,14
0,C,14.8470896594226,12.0,12.0,2.8470896594226005,F,15
1,D,12.8229128937237,17.0,17.0,-4.1770871062763,F,15
2,E,15.3475384674966,14.0,14.0,1.3475384674965998,F,15
3,F,15.0497023314238,4.0,4.0,11.0497023314238,F,15
0,C,14.8470896594226,5.0,5.0,9.8470896594226,C,16
1,E,15.3475384674966,14.0,14.0,1.3475384674965998,C,16
0,D,12.8229128937237,6.0,6.0,6.8229128937237,D,17
1,F,15.0497023314238,14.0,14.0,1.0497023314238003,D,17
0,E,15.3475384674966,10.0,10.0,5.3475384674966,E,18
0,E,15.3475384674966,3.0,3.0,12.3475384674966,E,19
0,D,12.8229128937237,14.0,14.0,-1.1770871062763,F,20
1,F,15.0497023314238,13.0,13.0,2.0497023314238003,F,20
0,C,14.8470896594226,11.0,11.0,3.8470896594226005,E,21
1,E,15.3475384674966,10.0,10.0,5.3475384674966,E,21
2,F,15.0497023314238,12.0,12.0,3.0497023314238003,E,21
0,C,14.8470896594226,9.0,9.0,5.8470896594226005,E,22
1,E,15.3475384674966,8.0,8.0,7.3475384674966,E,22
0,C,14.8470896594226,6.0,6.0,8.8470896594226,C,23
1,E,15.3475384674966,9.0,9.0,6.3475384674966,C,23
0,C,14.8470896594226,4.0,4.0,10.8470896594226,C,24
1,F,15.0497023314238,19.0,19.0,-3.9502976685761997,C,24
0,C,14.8470896594226,4.0,4.0,10.8470896594226,C,25
1,D,12.8229128937237,8.0,8.0,4.8229128937237,C,25
2,F,15.0497023314238,6.0,6.0,9.0497023314238,C,25
0,D,12.8229128937237,22.0,22.0,-9.1770871062763,F,26
1,F,15.0497023314238,17.0,17.0,-1.9502976685761997,F,26
0,D,12.8229128937237,10.0,10.0,2.8229128937237,E,27
1,E,15.3475384674966,5.0,5.0,10.3475384674966,E,27
0,D,12.8229128937237,8.0,8.0,4.8229128937237,F,28
1,F,15.0497023314238,10.0,10.0,5.0497023314238,F,28
0,C,14.8470896594226,4.0,4.0,10.8470896594226,C,29
0,D,12.8229128937237,11.0,11.0,1.8229128937237,D,30
0,C,14.8470896594226,7.0,7.0,7.8470896594226005,E,31
1,E,15.3475384674966,5.0,5.0,10.3475384674966,E,31
2,F,15.0497023314238,18.0,18.0,-2.9502976685761997,E,31
0,D,12.8229128937237,12.0,12.0,0.8229128937237,E,32
1,E,15.3475384674966,11.0,11.0,4.3475384674966,E,32
2,F,15.0497023314238,17.0,17.0,-1.9502976685761997,E,32
0,F,15.0497023314238,11.0,11.0,4.0497023314238,F,33
0,C,14.8470896594226,17.0,17.0,-2.1529103405773995,E,34
1,E,15.3475384674966,5.0,5.0,10.3475384674966,E,34
0,C,14.8470896594226,9.0,9.0,5.8470896594226005,E,35
1,D,12.8229128937237,11.0,11.0,1.8229128937237,E,35
2,E,15.3475384674966,6.0,6.0,9.3475384674966,E,35
0,C,14.8470896594226,10.0,10.0,4.8470896594226005,E,36
1,E,15.3475384674966,7.0,7.0,8.3475384674966,E,36
2,F,15.0497023314238,8.0,8.0,7.0497023314238,E,36
0,E,15.3475384674966,8.0,8.0,7.3475384674966,E,37
1,F,15.0497023314238,8.0,8.0,7.0497023314238,E,37
0,C,14.8470896594226,9.0,9.0,5.8470896594226005,C,38
1,D,12.8229128937237,16.0,16.0,-3.1770871062763,C,38
0,F,15.0497023314238,4.0,4.0,11.0497023314238,F,39
0,D,12.8229128937237,13.0,13.0,-0.17708710627629998,E,40
1,E,15.3475384674966,7.0,7.0,8.3475384674966,E,40
2,F,15.0497023314238,20.0,20.0,-4.9502976685762,E,40
0,C,14.8470896594226,5.0,5.0,9.8470896594226,F,41
1,D,12.8229128937237,17.0,17.0,-4.1770871062763,F,41
2,E,15.3475384674966,10.0,10.0,5.3475384674966,F,41
3,F,15.0497023314238,4.0,4.0,11.0497023314238,F,41
0,C,14.8470896594226,8.0,8.0,6.8470896594226005,F,42
1,E,15.3475384674966,6.0,6.0,9.3475384674966,F,42
2,F,15.0497023314238,3.0,3.0,12.0497023314238,F,42
0,F,15.0497023314238,15.0,15.0,0.04970233142380032,F,43
0,C,14.8470896594226,15.0,15.0,-0.1529103405773995,C,44
0,C,14.8470896594226,4.0,4.0,10.8470896594226,C,45
0,D,12.8229128937237,11.0,11.0,1.8229128937237,F,46
1,F,15.0497023314238,9.0,9.0,6.0497023314238,F,46
0,D,12.8229128937237,10.0,10.0,2.8229128937237,E,47
1,E,15.3475384674966,7.0,7.0,8.3475384674966,E,47
0,D,12.8229128937237,7.0,7.0,5.8229128937237,F,48
1,E,15.3475384674966,13.0,13.0,2.3475384674966,F,48
