,target_name,social_reward,path,energy_cost,total_score,final_target,simulation_index
0,D,20.5650716074742,10.0,10.0,10.565071607474199,F,1
1,F,18.879458995536,2.0,2.0,16.879458995536,F,1
0,C,20.9795924732462,9.0,9.0,11.9795924732462,D,2
1,D,20.5650716074742,3.0,3.0,17.5650716074742,D,2
2,E,21.2516657062806,6.0,6.0,15.251665706280601,D,2
3,F,18.879458995536,5.0,5.0,13.879458995536002,D,2
0,C,20.9795924732462,3.0,3.0,17.9795924732462,C,3
1,D,20.5650716074742,14.0,14.0,6.565071607474199,C,3
2,E,21.2516657062806,13.0,13.0,8.251665706280601,C,3
3,F,18.879458995536,9.0,9.0,9.879458995536002,C,3
0,C,20.9795924732462,10.0,10.0,10.9795924732462,C,4
0,C,20.9795924732462,6.0,6.0,14.9795924732462,F,5
1,D,20.5650716074742,8.0,8.0,12.565071607474199,F,5
2,E,21.2516657062806,8.0,8.0,13.251665706280601,F,5
3,F,18.879458995536,3.0,3.0,15.879458995536002,F,5
0,C,20.9795924732462,5.0,5.0,15.9795924732462,C,6
0,D,20.5650716074742,14.0,14.0,6.565071607474199,F,7
1,E,21.2516657062806,15.0,15.0,6.251665706280601,F,7
2,F,18.879458995536,5.0,5.0,13.879458995536002,F,7
0,D,20.5650716074742,2.0,2.0,18.5650716074742,D,8
0,C,20.9795924732462,17.0,17.0,3.9795924732462,F,9
1,D,20.5650716074742,9.0,9.0,11.565071607474199,F,9
2,E,21.2516657062806,7.0,7.0,14.251665706280601,F,9
3,F,18.879458995536,4.0,4.0,14.879458995536002,F,9
0,C,20.9795924732462,9.0,9.0,11.9795924732462,E,10
1,E,21.2516657062806,3.0,3.0,18.2516657062806,E,10
0,C,20.9795924732462,7.0,7.0,13.9795924732462,E,11
1,E,21.2516657062806,5.0,5.0,16.2516657062806,E,11
2,F,18.879458995536,5.0,5.0,13.879458995536002,E,11
0,C,20.9795924732462,15.0,15.0,5.9795924732462,E,12
1,E,21.2516657062806,7.0,7.0,14.251665706280601,E,12
2,F,18.879458995536,9.0,9.0,9.879458995536002,E,12
0,C,20.9795924732462,16.0,16.0,4.9795924732462,C,13
0,E,21.2516657062806,7.0,7.0,14.251665706280601,E,14
1,F,18.879458995536,15.0,15.0,3.8794589955360017,E,14
0,C,20.9795924732462,14.0,14.0,6.9795924732462,F,15
1,D,20.5650716074742,13.0,13.0,7.565071607474199,F,15
2,F,18.879458995536,10.0,10.0,8.879458995536002,F,15
0,C,20.9795924732462,11.0,11.0,9.9795924732462,D,16
1,D,20.5650716074742,5.0,5.0,15.565071607474199,D,16
2,E,21.2516657062806,6.0,6.0,15.251665706280601,D,16
0,C,20.9795924732462,7.0,7.0,13.9795924732462,C,17
1,D,20.5650716074742,10.0,10.0,10.565071607474199,C,17
2,F,18.879458995536,6.0,6.0,12.879458995536002,C,17
0,C,20.9795924732462,9.0,9.0,11.9795924732462,C,18
0,C,20.9795924732462,6.0,6.0,14.9795924732462,C,19
1,D,20.5650716074742,16.0,16.0,4.565071607474199,C,19
2,E,21.2516657062806,9.0,9.0,12.251665706280601,C,19
3,F,18.879458995536,15.0,15.0,3.8794589955360017,C,19
0,D,20.5650716074742,9.0,9.0,11.565071607474199,D,20
1,F,18.879458995536,11.0,11.0,7.879458995536002,D,20
0,C,20.9795924732462,14.0,14.0,6.9795924732462,C,21
1,F,18.879458995536,15.0,15.0,3.8794589955360017,C,21
0,C,20.9795924732462,13.0,13.0,7.9795924732462,D,22
1,D,20.5650716074742,7.0,7.0,13.565071607474199,D,22
2,F,18.879458995536,8.0,8.0,10.879458995536002,D,22
