"","subj_name","avg_num_targets","num_targets","freq","random_rate"
"1","S004b",2.3001699830017,1,3162,43.475
"2","S004b",2.3001699830017,2,2637,43.475
"3","S004b",2.3001699830017,3,2240,43.475
"4","S004b",2.3001699830017,4,1962,43.475
"5","S005b",2.30786921307869,1,3145,43.33
"6","S005b",2.30786921307869,2,2586,43.33
"7","S005b",2.30786921307869,3,2316,43.33
"8","S005b",2.30786921307869,4,1954,43.33
"9","S006b",2.3007699230077,1,3119,43.464
"10","S006b",2.3007699230077,2,2697,43.464
"11","S006b",2.3007699230077,3,2243,43.464
"12","S006b",2.3007699230077,4,1942,43.464
"13","S007b",2.31776822317768,1,3097,43.145
"14","S007b",2.31776822317768,2,2635,43.145
"15","S007b",2.31776822317768,3,2263,43.145
"16","S007b",2.31776822317768,4,2006,43.145
"17","S008b",2.3008699130087,1,3133,43.462
"18","S008b",2.3008699130087,2,2657,43.462
"19","S008b",2.3008699130087,3,2280,43.462
"20","S008b",2.3008699130087,4,1931,43.462
"21","S009b",2.30726927307269,1,3131,43.341
"22","S009b",2.30726927307269,2,2623,43.341
"23","S009b",2.30726927307269,3,2290,43.341
"24","S009b",2.30726927307269,4,1957,43.341
"25","S010b",2.31486851314869,1,3113,43.199
"26","S010b",2.31486851314869,2,2637,43.199
"27","S010b",2.31486851314869,3,2240,43.199
"28","S010b",2.31486851314869,4,2011,43.199
"29","S011b",2.30966903309669,1,3134,43.296
"30","S011b",2.30966903309669,2,2596,43.296
"31","S011b",2.30966903309669,3,2311,43.296
"32","S011b",2.30966903309669,4,1960,43.296
"33","S012b",2.31336866313369,1,3119,43.227
"34","S012b",2.31336866313369,2,2631,43.227
"35","S012b",2.31336866313369,3,2249,43.227
"36","S012b",2.31336866313369,4,2002,43.227
"37","S013b",2.29187081291871,1,3203,43.632
"38","S013b",2.29187081291871,2,2594,43.632
"39","S013b",2.29187081291871,3,2286,43.632
"40","S013b",2.29187081291871,4,1918,43.632
"41","S014b",2.31206879312069,1,3116,43.251
"42","S014b",2.31206879312069,2,2622,43.251
"43","S014b",2.31206879312069,3,2289,43.251
