,target_name,social_reward,path,energy_cost,total_score,final_target,simulation_index
0,E,18.0,20.0,20.0,-2.0,E,1
0,D,15.0,10.0,10.0,5.0,E,2
1,E,18.0,8.0,8.0,10.0,E,2
0,E,18.0,14.0,14.0,4.0,E,3
0,E,18.0,4.0,4.0,14.0,E,4
0,F,23.0,19.0,19.0,4.0,F,5
0,E,18.0,13.0,13.0,5.0,F,6
1,F,23.0,8.0,8.0,15.0,F,6
0,C,20.0,7.0,7.0,13.0,C,7
0,D,15.0,14.0,14.0,1.0,D,8
0,C,20.0,13.0,13.0,7.0,C,9
1,D,15.0,9.0,9.0,6.0,C,9
0,C,20.0,2.0,2.0,18.0,C,10
1,D,15.0,12.0,12.0,3.0,C,10
2,E,18.0,10.0,10.0,8.0,C,10
0,C,20.0,8.0,8.0,12.0,C,11
0,D,15.0,8.0,8.0,7.0,F,12
1,E,18.0,9.0,9.0,9.0,F,12
2,F,23.0,9.0,9.0,14.0,F,12
0,E,18.0,8.0,8.0,10.0,E,13
0,D,15.0,3.0,3.0,12.0,D,14
1,E,18.0,10.0,10.0,8.0,D,14
0,C,20.0,5.0,5.0,15.0,F,15
1,F,23.0,4.0,4.0,19.0,F,15
0,C,20.0,13.0,13.0,7.0,C,16
1,D,15.0,9.0,9.0,6.0,C,16
2,E,18.0,16.0,16.0,2.0,C,16
3,F,23.0,16.0,16.0,7.0,C,16
0,E,18.0,11.0,11.0,7.0,E,17
0,C,20.0,4.0,4.0,16.0,C,18
1,D,15.0,18.0,18.0,-3.0,C,18
2,E,18.0,9.0,9.0,9.0,C,18
3,F,23.0,10.0,10.0,13.0,C,18
0,C,20.0,6.0,6.0,14.0,C,19
1,D,15.0,13.0,13.0,2.0,C,19
2,E,18.0,8.0,8.0,10.0,C,19
3,F,23.0,10.0,10.0,13.0,C,19
0,C,20.0,6.0,6.0,14.0,F,20
1,D,15.0,5.0,5.0,10.0,F,20
2,E,18.0,18.0,18.0,0.0,F,20
3,F,23.0,6.0,6.0,17.0,F,20
0,C,20.0,10.0,10.0,10.0,C,21
1,D,15.0,9.0,9.0,6.0,C,21
2,E,18.0,9.0,9.0,9.0,C,21
0,C,20.0,5.0,5.0,15.0,C,22
1,D,15.0,15.0,15.0,0.0,C,22
0,C,20.0,4.0,4.0,16.0,C,23
1,D,15.0,12.0,12.0,3.0,C,23
2,E,18.0,8.0,8.0,10.0,C,23
0,C,20.0,14.0,14.0,6.0,F,24
1,E,18.0,6.0,6.0,12.0,F,24
2,F,23.0,10.0,10.0,13.0,F,24
0,C,20.0,8.0,8.0,12.0,E,25
1,E,18.0,5.0,5.0,13.0,E,25
2,F,23.0,11.0,11.0,12.0,E,25
0,C,20.0,17.0,17.0,3.0,D,26
1,D,15.0,2.0,2.0,13.0,D,26
0,C,20.0,6.0,6.0,14.0,C,27
1,E,18.0,26.0,26.0,-8.0,C,27
2,F,23.0,21.0,21.0,2.0,C,27
0,C,20.0,9.0,9.0,11.0,C,28
0,C,20.0,8.0,8.0,12.0,F,29
1,D,15.0,3.0,3.0,12.0,F,29
2,E,18.0,20.0,20.0,-2.0,F,29
3,F,23.0,8.0,8.0,15.0,F,29
0,D,15.0,6.0,6.0,9.0,F,30
1,E,18.0,22.0,22.0,-4.0,F,30
2,F,23.0,13.0,13.0,10.0,F,30
0,C,20.0,13.0,13.0,7.0,C,31
1,D,15.0,11.0,11.0,4.0,C,31
0,D,15.0,11.0,11.0,4.0,E,32
1,E,18.0,13.0,13.0,5.0,E,32
0,C,20.0,14.0,14.0,6.0,E,33
1,E,18.0,2.0,2.0,16.0,E,33
2,F,23.0,12.0,12.0,11.0,E,33
