,target_name,social_reward,path,energy_cost,total_score,final_target,simulation_index
0,C,26.0,16.0,16.0,10.0,E,1
1,D,23.0,13.0,13.0,10.0,E,1
2,E,15.0,4.0,4.0,11.0,E,1
0,C,26.0,9.0,9.0,17.0,C,2
1,D,23.0,8.0,8.0,15.0,C,2
2,E,15.0,3.0,3.0,12.0,C,2
0,C,26.0,18.0,18.0,8.0,E,3
1,D,23.0,16.0,16.0,7.0,E,3
2,E,15.0,7.0,7.0,8.0,E,3
3,F,23.0,20.0,20.0,3.0,E,3
0,C,26.0,4.0,4.0,22.0,C,4
1,D,23.0,9.0,9.0,14.0,C,4
2,F,23.0,3.0,3.0,20.0,C,4
0,C,26.0,7.0,7.0,19.0,D,5
1,D,23.0,3.0,3.0,20.0,D,5
0,D,23.0,11.0,11.0,12.0,F,6
1,F,23.0,9.0,9.0,14.0,F,6
0,F,23.0,11.0,11.0,12.0,F,7
0,C,26.0,16.0,16.0,10.0,D,8
1,D,23.0,3.0,3.0,20.0,D,8
2,E,15.0,14.0,14.0,1.0,D,8
3,F,23.0,10.0,10.0,13.0,D,8
0,E,15.0,16.0,16.0,-1.0,F,9
1,F,23.0,2.0,2.0,21.0,F,9
0,E,15.0,6.0,6.0,9.0,E,10
0,C,26.0,18.0,18.0,8.0,F,11
1,E,15.0,7.0,7.0,8.0,F,11
2,F,23.0,4.0,4.0,19.0,F,11
0,F,23.0,19.0,19.0,4.0,F,12
0,C,26.0,8.0,8.0,18.0,D,13
1,D,23.0,3.0,3.0,20.0,D,13
2,E,15.0,9.0,9.0,6.0,D,13
3,F,23.0,7.0,7.0,16.0,D,13
0,E,15.0,3.0,3.0,12.0,E,14
0,E,15.0,12.0,12.0,3.0,E,15
0,C,26.0,9.0,9.0,17.0,C,16
1,E,15.0,18.0,18.0,-3.0,C,16
2,F,23.0,20.0,20.0,3.0,C,16
0,E,15.0,14.0,14.0,1.0,E,17
0,C,26.0,3.0,3.0,23.0,C,18
1,D,23.0,13.0,13.0,10.0,C,18
0,C,26.0,8.0,8.0,18.0,C,19
1,D,23.0,10.0,10.0,13.0,C,19
2,E,15.0,14.0,14.0,1.0,C,19
0,D,23.0,11.0,11.0,12.0,F,20
1,E,15.0,8.0,8.0,7.0,F,20
2,F,23.0,5.0,5.0,18.0,F,20
0,E,15.0,15.0,15.0,0.0,F,21
1,F,23.0,12.0,12.0,11.0,F,21
0,D,23.0,8.0,8.0,15.0,F,22
1,F,23.0,6.0,6.0,17.0,F,22
0,D,23.0,7.0,7.0,16.0,D,23
0,F,23.0,11.0,11.0,12.0,F,24
0,F,23.0,8.0,8.0,15.0,F,25
0,D,23.0,9.0,9.0,14.0,D,26
0,C,26.0,7.0,7.0,19.0,D,27
1,D,23.0,2.0,2.0,21.0,D,27
2,E,15.0,8.0,8.0,7.0,D,27
0,E,15.0,5.0,5.0,10.0,F,28
1,F,23.0,11.0,11.0,12.0,F,28
0,C,26.0,16.0,16.0,10.0,F,29
1,D,23.0,16.0,16.0,7.0,F,29
2,F,23.0,6.0,6.0,17.0,F,29
0,F,23.0,2.0,2.0,21.0,F,30
0,C,26.0,10.0,10.0,16.0,F,31
1,F,23.0,4.0,4.0,19.0,F,31
0,C,26.0,3.0,3.0,23.0,C,32
1,D,23.0,10.0,10.0,13.0,C,32
2,F,23.0,14.0,14.0,9.0,C,32
0,C,26.0,3.0,3.0,23.0,C,33
1,E,15.0,15.0,15.0,0.0,C,33
0,C,26.0,6.0,6.0,20.0,C,34
1,D,23.0,15.0,15.0,8.0,C,34
2,F,23.0,3.0,3.0,20.0,C,34
0,C,26.0,9.0,9.0,17.0,C,35
1,D,23.0,9.0,9.0,14.0,C,35
2,E,15.0,14.0,14.0,1.0,C,35
3,F,23.0,9.0,9.0,14.0,C,35
0,C,26.0,6.0,6.0,20.0,C,36
1,E,15.0,13.0,13.0,2.0,C,36
2,F,23.0,6.0,6.0,17.0,C,36
0,C,26.0,9.0,9.0,17.0,C,37
1,D,23.0,8.0,8.0,15.0,C,37
2,E,15.0,10.0,10.0,5.0,C,37
3,F,23.0,9.0,9.0,14.0,C,37
0,D,23.0,3.0,3.0,20.0,D,38
0,C,26.0,7.0,7.0,19.0,C,39
0,C,26.0,8.0,8.0,18.0,C,40
1,E,15.0,5.0,5.0,10.0,C,40
0,D,23.0,16.0,16.0,7.0,D,41
0,C,26.0,7.0,7.0,19.0,C,42
1,E,15.0,10.0,10.0,5.0,C,42
