,step,train_error,validation_error
0,0,1.0,1.0
1,100,1.0,0.9375
2,200,0.0625,0.75
3,300,1.0,0.875
4,400,1.0,1.0
5,500,0.375,1.0
6,600,0.4375,0.5
7,700,0.875,0.375
8,800,0.4375,0.0
9,900,0.3125,1.0
10,1000,1.0,0.0
11,1100,0.625,0.625
12,1200,0.875,0.625
13,1300,0.4375,0.5
14,1400,0.0,0.625
15,1500,0.0,0.3125
16,1600,0.125,0.0
17,1700,0.0,0.4375
18,1800,0.0,1.0
19,1900,0.0,0.625
20,2000,0.25,0.9375
21,2100,0.0,1.0
22,2200,0.0,0.4375
23,2300,0.0,0.4375
24,2400,0.0,0.5
25,2500,0.3125,0.625
26,2600,0.0,0.5625
27,2700,0.5625,0.875
28,2800,0.0,0.625
29,2900,0.0,1.0
30,3000,0.0,0.875
31,3100,0.25,0.4375
32,3200,0.0,0.625
33,3300,0.375,0.625
34,3400,0.0,0.625
35,3500,0.25,1.0
36,3600,0.0625,0.0
37,3700,0.4375,0.75
38,3800,0.25,0.8125
39,3900,0.0,1.0
40,4000,0.0,0.625
41,4100,0.0,0.625
42,4200,0.4375,0.625
43,4300,0.0,0.375
44,4400,0.0,0.5
45,4500,0.125,1.0
46,4600,0.3125,0.5625
47,4700,0.0,0.875
48,4800,0.375,1.0
49,4900,0.0,0.0625
50,5000,0.3125,0.625
51,5100,0.3125,1.0
52,5200,0.0,1.0
53,5300,0.1875,0.125
54,5400,0.25,0.375
55,5500,0.0,0.625
56,5600,0.0,0.125
57,5700,0.1875,0.625
58,5800,0.0,0.375
59,5900,0.0,0.5
60,6000,0.0,0.3125
61,6100,0.0,0.625
62,6200,0.0,1.0
63,6300,0.1875,1.0
64,6400,0.0,1.0
65,6500,0.0,0.125
66,6600,0.0,0.4375
67,6700,0.0,0.4375
68,6800,0.1875,1.0
69,6900,0.0,1.0
70,7000,0.1875,0.1875
71,7100,0.3125,0.375
72,7200,0.0,1.0
73,7300,0.0,0.6875
74,7400,0.0625,0.5625
75,7500,0.0,0.125
76,7600,0.0,0.5625
77,7700,0.1875,0.6875
78,7800,0.1875,0.3125
79,7900,0.0,0.4375
80,8000,0.0,0.5
81,8100,0.1875,0.375
82,8200,0.0,0.5625
83,8300,0.25,0.9375
84,8400,0.0,0.6875
85,8500,0.0625,1.0
86,8600,0.1875,0.625
87,8700,0.0,0.375
88,8800,0.0,1.0
89,8900,0.1875,1.0
90,9000,0.1875,0.625
91,9100,0.0625,1.0
92,9200,0.0,0.625
93,9300,0.1875,1.0
94,9400,0.0625,0.3125
95,9500,0.0,1.0
96,9600,0.0625,0.5
97,9700,0.0,0.625
98,9800,0.0,0.3125
99,9900,0.0,0.1875
