,step,train_error,validation_error
0,0,0.550000011920929,0.7250000238418579
1,100,0.5,0.7250000238418579
2,200,0.5,0.550000011920929
3,300,0.42500001192092896,0.6500000357627869
4,400,0.42500001192092896,0.7250000238418579
5,500,0.42500001192092896,0.7250000238418579
6,600,0.4000000059604645,0.550000011920929
7,700,0.25,0.6500000357627869
8,800,0.30000001192092896,0.7250000238418579
9,900,0.5,0.7250000238418579
10,1000,0.22500000894069672,0.7250000238418579
11,1100,0.20000000298023224,0.75
12,1200,0.5,0.6500000357627869
13,1300,0.10000000149011612,0.625
14,1400,0.375,0.550000011920929
15,1500,0.17499999701976776,0.7250000238418579
16,1600,0.5,0.550000011920929
17,1700,0.4749999940395355,0.550000011920929
18,1800,0.20000000298023224,0.6500000357627869
19,1900,0.32500001788139343,0.7250000238418579
20,2000,0.05000000074505806,0.7250000238418579
21,2100,0.5,0.7250000238418579
22,2200,0.17499999701976776,0.6500000357627869
23,2300,0.4000000059604645,0.6000000238418579
24,2400,0.17499999701976776,0.550000011920929
25,2500,0.17499999701976776,0.7250000238418579
26,2600,0.125,0.7250000238418579
27,2700,0.10000000149011612,0.6500000357627869
28,2800,0.05000000074505806,0.550000011920929
29,2900,0.17499999701976776,0.550000011920929
30,3000,0.05000000074505806,0.6500000357627869
31,3100,0.05000000074505806,0.6000000238418579
32,3200,0.17499999701976776,0.699999988079071
33,3300,0.125,0.7250000238418579
34,3400,0.05000000074505806,0.7250000238418579
35,3500,0.07500000298023224,0.6500000357627869
36,3600,0.05000000074505806,0.6500000357627869
37,3700,0.05000000074505806,0.75
38,3800,0.17499999701976776,0.75
39,3900,0.07500000298023224,0.550000011920929
40,4000,0.125,0.7250000238418579
41,4100,0.07500000298023224,0.7750000357627869
42,4200,0.17499999701976776,0.75
43,4300,0.05000000074505806,0.75
44,4400,0.17499999701976776,0.7750000357627869
45,4500,0.05000000074505806,0.6500000357627869
46,4600,0.17499999701976776,0.7750000357627869
47,4700,0.07500000298023224,0.7750000357627869
48,4800,0.125,0.7750000357627869
49,4900,0.05000000074505806,0.6500000357627869
50,5000,0.17499999701976776,0.75
51,5100,0.125,0.625
52,5200,0.10000000149011612,0.625
53,5300,0.17499999701976776,0.625
54,5400,0.05000000074505806,0.75
55,5500,0.125,0.7750000357627869
56,5600,0.10000000149011612,0.625
57,5700,0.17499999701976776,0.6000000238418579
58,5800,0.10000000149011612,0.6500000357627869
59,5900,0.05000000074505806,0.550000011920929
