,step,train_error,validation_error
0,0,0.8125,0.6875
1,100,0.7708333730697632,0.7604166865348816
2,200,0.6354166865348816,0.75
3,300,0.6770833730697632,0.78125
4,400,0.8958333730697632,0.7916666865348816
5,500,0.3125,0.7916666865348816
6,600,0.6354166865348816,0.7916666865348816
7,700,0.625,0.7916666865348816
8,800,0.625,0.7916666865348816
9,900,0.5833333730697632,0.7916666865348816
10,1000,0.5833333730697632,0.7916666865348816
11,1100,0.5625,0.7916666865348816
12,1200,0.7916666865348816,0.7916666865348816
13,1300,0.625,0.7916666865348816
14,1400,0.5208333730697632,0.7916666865348816
15,1500,0.7916666865348816,0.7916666865348816
16,1600,0.6875,0.7916666865348816
17,1700,0.8958333730697632,0.7916666865348816
18,1800,0.875,0.7916666865348816
19,1900,0.6979166865348816,0.7916666865348816
20,2000,0.2916666865348816,0.7916666865348816
21,2100,0.6875,0.7916666865348816
22,2200,0.7083333730697632,0.7916666865348816
23,2300,0.8958333730697632,0.7916666865348816
24,2400,0.8854166865348816,0.7916666865348816
25,2500,0.46875,0.7916666865348816
26,2600,0.7916666865348816,0.7916666865348816
27,2700,0.5833333730697632,0.7916666865348816
28,2800,0.4791666865348816,0.7916666865348816
29,2900,0.5833333730697632,0.7916666865348816
30,3000,0.5833333730697632,0.7916666865348816
31,3100,0.7916666865348816,0.7916666865348816
32,3200,0.5520833730697632,0.7916666865348816
33,3300,0.6145833730697632,0.6979166865348816
34,3400,0.8854166865348816,0.7916666865348816
35,3500,0.6145833730697632,0.78125
36,3600,0.71875,0.7916666865348816
37,3700,0.5833333730697632,0.7916666865348816
38,3800,0.625,0.7916666865348816
39,3900,0.7916666865348816,0.7916666865348816
40,4000,0.7395833730697632,0.7916666865348816
41,4100,0.46875,0.78125
42,4200,0.7916666865348816,0.7916666865348816
43,4300,0.4791666865348816,0.75
44,4400,0.7708333730697632,0.6875
45,4500,0.7395833730697632,0.7083333730697632
46,4600,0.4895833432674408,0.71875
47,4700,0.6875,0.75
48,4800,0.7708333730697632,0.7604166865348816
49,4900,0.4791666865348816,0.7916666865348816
50,5000,0.875,0.7916666865348816
51,5100,0.8958333730697632,0.7916666865348816
52,5200,0.7291666865348816,0.7708333730697632
53,5300,0.5833333730697632,0.6979166865348816
54,5400,0.6145833730697632,0.7395833730697632
55,5500,0.5833333730697632,0.7083333730697632
56,5600,0.625,0.6979166865348816
57,5700,0.7083333730697632,0.7604166865348816
58,5800,0.7916666865348816,0.7291666865348816
59,5900,0.65625,0.6770833730697632
60,6000,0.7291666865348816,0.6875
61,6100,0.7083333730697632,0.65625
62,6200,0.5729166865348816,0.6458333730697632
63,6300,0.6979166865348816,0.6458333730697632
64,6400,0.5,0.7083333730697632
65,6500,0.6979166865348816,0.6666666865348816
66,6600,0.65625,0.5833333730697632
67,6700,0.6041666865348816,0.6770833730697632
68,6800,0.3229166865348816,0.7291666865348816
69,6900,0.40625,0.6770833730697632
70,7000,0.4895833432674408,0.65625
71,7100,0.6145833730697632,0.6770833730697632
72,7200,0.75,0.6875
73,7300,0.7708333730697632,0.6979166865348816
74,7400,0.625,0.6666666865348816
75,7500,0.4375,0.6979166865348816
76,7600,0.5833333730697632,0.59375
77,7700,0.8333333730697632,0.6770833730697632
78,7800,0.65625,0.6145833730697632
79,7900,0.4791666865348816,0.6875
80,8000,0.7083333730697632,0.6770833730697632
81,8100,0.5625,0.625
82,8200,0.3958333432674408,0.59375
83,8300,0.625,0.6354166865348816
84,8400,0.625,0.625
85,8500,0.2395833432674408,0.6875
86,8600,0.3125,0.6354166865348816
87,8700,0.6458333730697632,0.6145833730697632
88,8800,0.5520833730697632,0.6458333730697632
89,8900,0.5208333730697632,0.6458333730697632
90,9000,0.4791666865348816,0.6979166865348816
91,9100,0.4166666865348816,0.6458333730697632
92,9200,0.84375,0.6666666865348816
93,9300,0.5104166865348816,0.6354166865348816
94,9400,0.5,0.65625
95,9500,0.8229166865348816,0.7083333730697632
96,9600,0.7708333730697632,0.71875
97,9700,0.1770833432674408,0.6770833730697632
98,9800,0.5625,0.6666666865348816
99,9900,0.40625,0.6875
100,10000,0.6041666865348816,0.7083333730697632
101,10100,0.5416666865348816,0.6979166865348816
102,10200,0.59375,0.6875
103,10300,0.65625,0.7083333730697632
104,10400,0.4479166865348816,0.6666666865348816
105,10500,0.4479166865348816,0.6666666865348816
106,10600,0.3229166865348816,0.6666666865348816
107,10700,0.3541666865348816,0.6770833730697632
108,10800,0.5833333730697632,0.6770833730697632
109,10900,0.5625,0.6770833730697632
110,11000,0.6041666865348816,0.6875
111,11100,0.2395833432674408,0.6875
112,11200,0.71875,0.6875
113,11300,0.6145833730697632,0.6770833730697632
114,11400,0.6770833730697632,0.6770833730697632
115,11500,0.3020833432674408,0.6875
116,11600,0.6770833730697632,0.7083333730697632
117,11700,0.46875,0.6979166865348816
118,11800,0.59375,0.6979166865348816
119,11900,0.5520833730697632,0.6979166865348816
120,12000,0.3958333432674408,0.7083333730697632
121,12100,0.5104166865348816,0.71875
122,12200,0.6875,0.6979166865348816
123,12300,0.4479166865348816,0.6979166865348816
124,12400,0.7291666865348816,0.6979166865348816
125,12500,0.4166666865348816,0.6875
126,12600,0.5416666865348816,0.6979166865348816
127,12700,0.3958333432674408,0.7083333730697632
128,12800,0.3125,0.6979166865348816
129,12900,0.5,0.7083333730697632
130,13000,0.1979166716337204,0.7083333730697632
131,13100,0.4375,0.7083333730697632
132,13200,0.71875,0.6979166865348816
133,13300,0.5,0.6875
134,13400,0.5208333730697632,0.6875
135,13500,0.7708333730697632,0.6875
136,13600,0.3645833432674408,0.6770833730697632
137,13700,0.7083333730697632,0.6875
138,13800,0.3229166865348816,0.6770833730697632
139,13900,0.625,0.6770833730697632
140,14000,0.28125,0.6770833730697632
141,14100,0.7395833730697632,0.6770833730697632
142,14200,0.5416666865348816,0.6770833730697632
143,14300,0.3333333432674408,0.6770833730697632
144,14400,0.5729166865348816,0.6875
145,14500,0.5416666865348816,0.6875
146,14600,0.2916666865348816,0.6875
147,14700,0.5833333730697632,0.6875
148,14800,0.5104166865348816,0.6979166865348816
149,14900,0.5104166865348816,0.6875
150,15000,0.5416666865348816,0.6875
151,15100,0.3958333432674408,0.6875
152,15200,0.5625,0.6875
153,15300,0.40625,0.6875
154,15400,0.4791666865348816,0.6875
155,15500,0.6041666865348816,0.6875
156,15600,0.6458333730697632,0.6875
157,15700,0.5,0.6875
158,15800,0.4895833432674408,0.6875
159,15900,0.5104166865348816,0.6875
160,16000,0.4166666865348816,0.6875
161,16100,0.3645833432674408,0.6875
162,16200,0.4479166865348816,0.6875
163,16300,0.59375,0.6875
164,16400,0.5625,0.6875
165,16500,0.34375,0.6875
166,16600,0.7291666865348816,0.6875
167,16700,0.65625,0.6875
168,16800,0.2395833432674408,0.6875
169,16900,0.7083333730697632,0.6875
170,17000,0.2395833432674408,0.6875
171,17100,0.3020833432674408,0.6875
172,17200,0.375,0.6875
173,17300,0.6145833730697632,0.6875
174,17400,0.5729166865348816,0.6875
175,17500,0.5833333730697632,0.6875
176,17600,0.5833333730697632,0.6875
177,17700,0.7083333730697632,0.6875
178,17800,0.4375,0.6875
179,17900,0.53125,0.6875
180,18000,0.65625,0.6875
181,18100,0.7916666865348816,0.6875
182,18200,0.6666666865348816,0.6875
183,18300,0.5833333730697632,0.6875
184,18400,0.625,0.6875
185,18500,0.5625,0.6875
186,18600,0.5104166865348816,0.6875
187,18700,0.5833333730697632,0.6875
188,18800,0.53125,0.6875
189,18900,0.4583333432674408,0.6875
190,19000,0.4791666865348816,0.6875
191,19100,0.6041666865348816,0.6875
192,19200,0.6354166865348816,0.6875
193,19300,0.2395833432674408,0.6875
194,19400,0.71875,0.6875
195,19500,0.4583333432674408,0.6875
196,19600,0.7291666865348816,0.6875
197,19700,0.3854166865348816,0.6875
198,19800,0.4583333432674408,0.6875
199,19900,0.3854166865348816,0.6875
200,20000,0.40625,0.6875
201,20100,0.4791666865348816,0.6875
202,20200,0.3229166865348816,0.6875
203,20300,0.5625,0.6875
204,20400,0.65625,0.6875
205,20500,0.6458333730697632,0.6875
206,20600,0.5208333730697632,0.6875
207,20700,0.4583333432674408,0.6875
208,20800,0.4270833432674408,0.6875
209,20900,0.5833333730697632,0.6875
210,21000,0.21875,0.6875
211,21100,0.3958333432674408,0.6875
212,21200,0.3958333432674408,0.6875
213,21300,0.5416666865348816,0.6875
214,21400,0.5729166865348816,0.6875
215,21500,0.6041666865348816,0.6875
216,21600,0.5520833730697632,0.6875
217,21700,0.625,0.6875
218,21800,0.4375,0.6875
219,21900,0.8333333730697632,0.6875
220,22000,0.625,0.6875
221,22100,0.5208333730697632,0.6875
222,22200,0.4166666865348816,0.6875
223,22300,0.5,0.6875
224,22400,0.4375,0.6875
225,22500,0.5,0.6875
226,22600,0.5729166865348816,0.6875
227,22700,0.53125,0.6875
228,22800,0.3229166865348816,0.6875
229,22900,0.3020833432674408,0.6875
230,23000,0.59375,0.6875
231,23100,0.625,0.6875
232,23200,0.5,0.6875
233,23300,0.7083333730697632,0.6875
234,23400,0.3645833432674408,0.6875
235,23500,0.4270833432674408,0.6875
236,23600,0.4479166865348816,0.6875
237,23700,0.4895833432674408,0.6875
238,23800,0.5520833730697632,0.6875
239,23900,0.5,0.6875
240,24000,0.7708333730697632,0.6875
241,24100,0.5625,0.6875
242,24200,0.5104166865348816,0.6875
243,24300,0.53125,0.6875
244,24400,0.40625,0.6875
245,24500,0.5208333730697632,0.6875
246,24600,0.28125,0.6875
247,24700,0.2395833432674408,0.6875
248,24800,0.6666666865348816,0.6875
249,24900,0.4583333432674408,0.6875
250,25000,0.6041666865348816,0.6875
251,25100,0.8229166865348816,0.6875
252,25200,0.7708333730697632,0.6875
253,25300,0.5833333730697632,0.6875
254,25400,0.5520833730697632,0.6875
255,25500,0.46875,0.6875
256,25600,0.5208333730697632,0.6875
257,25700,0.7604166865348816,0.6875
258,25800,0.7083333730697632,0.6875
259,25900,0.2291666716337204,0.6875
260,26000,0.7395833730697632,0.6875
261,26100,0.4166666865348816,0.6875
262,26200,0.3333333432674408,0.6875
263,26300,0.5104166865348816,0.6875
264,26400,0.34375,0.6979166865348816
265,26500,0.4270833432674408,0.6875
266,26600,0.5833333730697632,0.6875
267,26700,0.5,0.6979166865348816
268,26800,0.7291666865348816,0.6875
269,26900,0.2291666716337204,0.6875
270,27000,0.34375,0.6875
271,27100,0.2916666865348816,0.6875
272,27200,0.40625,0.6875
273,27300,0.4166666865348816,0.6979166865348816
274,27400,0.4479166865348816,0.6875
275,27500,0.5104166865348816,0.6875
276,27600,0.3854166865348816,0.6875
277,27700,0.3645833432674408,0.6875
278,27800,0.6145833730697632,0.6875
279,27900,0.6041666865348816,0.6875
280,28000,0.4583333432674408,0.6875
281,28100,0.3229166865348816,0.6875
282,28200,0.5,0.6875
283,28300,0.4791666865348816,0.6875
284,28400,0.5520833730697632,0.6875
285,28500,0.53125,0.6875
286,28600,0.4583333432674408,0.6875
287,28700,0.375,0.6875
288,28800,0.4479166865348816,0.6875
289,28900,0.6666666865348816,0.6875
290,29000,0.4375,0.6875
291,29100,0.40625,0.6875
292,29200,0.5104166865348816,0.6875
293,29300,0.4791666865348816,0.6875
294,29400,0.6770833730697632,0.6875
295,29500,0.6458333730697632,0.6875
296,29600,0.4270833432674408,0.6875
297,29700,0.7291666865348816,0.6875
298,29800,0.3125,0.6875
299,29900,0.5729166865348816,0.6875
300,30000,0.65625,0.6875
301,30100,0.5729166865348816,0.6875
302,30200,0.6354166865348816,0.6875
303,30300,0.5833333730697632,0.6875
304,30400,0.3229166865348816,0.6875
305,30500,0.5729166865348816,0.6875
306,30600,0.65625,0.6875
307,30700,0.5625,0.6875
308,30800,0.375,0.6875
309,30900,0.5729166865348816,0.6875
310,31000,0.5208333730697632,0.6875
311,31100,0.6875,0.6875
312,31200,0.625,0.6875
313,31300,0.6979166865348816,0.6875
314,31400,0.2708333432674408,0.6875
315,31500,0.8125,0.6875
316,31600,0.5416666865348816,0.6875
317,31700,0.6666666865348816,0.6875
318,31800,0.5,0.6875
319,31900,0.5208333730697632,0.6875
320,32000,0.3333333432674408,0.6875
321,32100,0.3645833432674408,0.6875
322,32200,0.3958333432674408,0.6875
323,32300,0.3645833432674408,0.6875
324,32400,0.6666666865348816,0.6875
325,32500,0.4479166865348816,0.6875
326,32600,0.59375,0.6875
327,32700,0.375,0.6875
328,32800,0.5625,0.6875
329,32900,0.6041666865348816,0.6875
330,33000,0.46875,0.6875
331,33100,0.3333333432674408,0.6875
332,33200,0.5,0.6875
333,33300,0.7083333730697632,0.6875
334,33400,0.7083333730697632,0.6875
335,33500,0.3125,0.6875
336,33600,0.5104166865348816,0.6875
337,33700,0.34375,0.6875
338,33800,0.5520833730697632,0.6875
339,33900,0.3125,0.6875
340,34000,0.5104166865348816,0.6875
341,34100,0.5104166865348816,0.6875
342,34200,0.5208333730697632,0.6875
343,34300,0.5104166865348816,0.6875
344,34400,0.7708333730697632,0.6875
345,34500,0.5104166865348816,0.6875
346,34600,0.3958333432674408,0.6875
347,34700,0.4479166865348816,0.6875
348,34800,0.53125,0.6875
349,34900,0.53125,0.6875
350,35000,0.5416666865348816,0.6875
351,35100,0.6145833730697632,0.6875
352,35200,0.5729166865348816,0.6875
353,35300,0.3125,0.6875
354,35400,0.7916666865348816,0.6875
355,35500,0.2604166865348816,0.6875
356,35600,0.5104166865348816,0.6875
357,35700,0.78125,0.6875
358,35800,0.3020833432674408,0.6875
359,35900,0.5625,0.6979166865348816
360,36000,0.6041666865348816,0.6875
361,36100,0.5208333730697632,0.6875
362,36200,0.53125,0.6979166865348816
363,36300,0.4895833432674408,0.6979166865348816
364,36400,0.59375,0.6979166865348816
365,36500,0.59375,0.6979166865348816
366,36600,0.5208333730697632,0.6979166865348816
367,36700,0.4583333432674408,0.6979166865348816
368,36800,0.4479166865348816,0.6979166865348816
369,36900,0.4270833432674408,0.6979166865348816
370,37000,0.40625,0.6979166865348816
371,37100,0.5416666865348816,0.6979166865348816
372,37200,0.5208333730697632,0.6979166865348816
373,37300,0.6875,0.6979166865348816
374,37400,0.4895833432674408,0.6979166865348816
375,37500,0.5833333730697632,0.6979166865348816
376,37600,0.8020833730697632,0.6979166865348816
377,37700,0.5416666865348816,0.6979166865348816
378,37800,0.65625,0.6979166865348816
379,37900,0.5104166865348816,0.6979166865348816
380,38000,0.4479166865348816,0.6979166865348816
381,38100,0.59375,0.6979166865348816
382,38200,0.3854166865348816,0.6875
383,38300,0.5520833730697632,0.6875
384,38400,0.1875,0.6875
385,38500,0.7083333730697632,0.6875
386,38600,0.59375,0.6979166865348816
387,38700,0.4583333432674408,0.6979166865348816
388,38800,0.2708333432674408,0.6875
389,38900,0.4375,0.6979166865348816
390,39000,0.1979166716337204,0.6979166865348816
391,39100,0.375,0.6875
392,39200,0.4791666865348816,0.6875
393,39300,0.5625,0.6875
394,39400,0.3854166865348816,0.6979166865348816
395,39500,0.4375,0.6875
396,39600,0.5625,0.6979166865348816
397,39700,0.71875,0.6875
398,39800,0.375,0.6979166865348816
399,39900,0.40625,0.6979166865348816
400,40000,0.75,0.6875
401,40100,0.53125,0.6979166865348816
402,40200,0.4791666865348816,0.6875
403,40300,0.6145833730697632,0.6979166865348816
404,40400,0.53125,0.6875
405,40500,0.53125,0.6979166865348816
406,40600,0.5104166865348816,0.6979166865348816
407,40700,0.4583333432674408,0.6875
408,40800,0.46875,0.6979166865348816
409,40900,0.40625,0.6875
410,41000,0.46875,0.6979166865348816
411,41100,0.2916666865348816,0.6979166865348816
412,41200,0.5208333730697632,0.6875
413,41300,0.375,0.6875
414,41400,0.4479166865348816,0.6979166865348816
415,41500,0.4479166865348816,0.6875
416,41600,0.3645833432674408,0.6979166865348816
417,41700,0.65625,0.6979166865348816
418,41800,0.5625,0.6979166865348816
419,41900,0.3958333432674408,0.6875
420,42000,0.4270833432674408,0.6875
421,42100,0.5833333730697632,0.6875
422,42200,0.5833333730697632,0.6875
423,42300,0.53125,0.6875
424,42400,0.6875,0.6875
425,42500,0.7291666865348816,0.6875
426,42600,0.4479166865348816,0.6875
427,42700,0.3854166865348816,0.6875
428,42800,0.40625,0.6979166865348816
429,42900,0.3125,0.6875
430,43000,0.4479166865348816,0.6875
431,43100,0.4791666865348816,0.6875
432,43200,0.59375,0.6875
433,43300,0.8020833730697632,0.6875
434,43400,0.5208333730697632,0.6875
435,43500,0.6145833730697632,0.6875
436,43600,0.5833333730697632,0.6875
437,43700,0.7604166865348816,0.6875
438,43800,0.5416666865348816,0.6875
439,43900,0.625,0.6875
440,44000,0.2291666716337204,0.6875
441,44100,0.4895833432674408,0.6875
442,44200,0.5,0.6875
443,44300,0.625,0.6875
444,44400,0.5,0.6875
445,44500,0.6041666865348816,0.6875
446,44600,0.4895833432674408,0.6875
447,44700,0.2604166865348816,0.6875
448,44800,0.4166666865348816,0.6875
449,44900,0.4895833432674408,0.6875
450,45000,0.6666666865348816,0.6875
451,45100,0.6666666865348816,0.6875
452,45200,0.6354166865348816,0.6979166865348816
453,45300,0.25,0.6875
454,45400,0.5625,0.6875
455,45500,0.5520833730697632,0.6875
456,45600,0.5208333730697632,0.6875
457,45700,0.3854166865348816,0.6875
458,45800,0.5416666865348816,0.6875
459,45900,0.53125,0.6875
460,46000,0.5416666865348816,0.6875
