,step,train_error,validation_error
0,0,1.0,1.0
1,100,0.15625,0.21875
2,200,0.0,0.25
3,300,0.21875,0.09375
4,400,0.0625,0.09375
5,500,0.0625,0.15625
6,600,0.0625,0.0
7,700,0.21875,0.0625
8,800,0.0,0.09375
9,900,0.21875,0.15625
10,1000,0.0625,0.0625
11,1100,0.0,0.15625
12,1200,0.15625,0.125
13,1300,0.15625,0.25
14,1400,0.15625,0.09375
15,1500,0.1875,0.21875
16,1600,0.25,0.0625
17,1700,0.15625,0.0625
18,1800,0.0625,0.0625
19,1900,0.0,0.0625
20,2000,0.0625,0.0625
21,2100,0.1875,0.0625
22,2200,0.0,0.15625
23,2300,0.15625,0.0625
24,2400,0.0625,0.25
25,2500,0.15625,0.21875
26,2600,0.25,0.25
27,2700,0.25,0.0
28,2800,0.0625,0.0625
29,2900,0.0,0.25
30,3000,0.0625,0.15625
31,3100,0.15625,0.0
32,3200,0.125,0.25
33,3300,0.15625,0.21875
34,3400,0.09375,0.21875
35,3500,0.46875,0.46875
36,3600,0.0625,0.0625
37,3700,0.25,0.03125
38,3800,0.0625,0.0
39,3900,0.0625,0.25
40,4000,0.0625,0.0625
41,4100,0.25,0.25
42,4200,0.15625,0.15625
43,4300,0.125,0.15625
44,4400,0.09375,0.25
45,4500,0.15625,0.25
46,4600,0.0625,0.0
47,4700,0.0,0.0625
48,4800,0.21875,0.15625
49,4900,0.0625,0.21875
50,5000,0.21875,0.15625
51,5100,0.21875,0.21875
52,5200,0.15625,0.125
53,5300,0.09375,0.0
54,5400,0.21875,0.0625
55,5500,0.15625,0.0
56,5600,0.09375,0.0625
57,5700,0.1875,0.15625
58,5800,0.0625,0.125
59,5900,0.21875,0.1875
60,6000,0.15625,0.21875
61,6100,0.0625,0.21875
62,6200,0.21875,0.09375
63,6300,0.15625,0.21875
64,6400,0.0625,0.25
65,6500,0.15625,0.0625
66,6600,0.0,0.125
67,6700,0.25,0.0
68,6800,0.15625,0.21875
69,6900,0.09375,0.15625
70,7000,0.0,0.46875
71,7100,0.125,0.1875
72,7200,0.0625,0.21875
73,7300,0.15625,0.21875
74,7400,0.0625,0.15625
75,7500,0.21875,0.21875
76,7600,0.0625,0.0625
77,7700,0.0625,0.21875
78,7800,0.15625,0.46875
79,7900,0.0625,0.15625
80,8000,0.15625,0.0625
81,8100,0.0625,0.21875
