,step,train_error,validation_error
0,0,1.0,1.0
1,100,0.40625,0.40625
2,200,0.0,0.46875
3,300,0.21875,0.0625
4,400,0.1875,0.25
5,500,0.0,0.03125
6,600,0.3125,0.15625
7,700,0.15625,0.0
8,800,0.28125,0.15625
9,900,0.0625,0.21875
10,1000,0.0625,0.0625
11,1100,0.0625,0.15625
12,1200,0.09375,0.15625
13,1300,0.15625,0.28125
14,1400,0.09375,0.40625
15,1500,0.375,0.0625
16,1600,0.28125,0.0625
17,1700,0.0625,0.40625
18,1800,0.25,0.0625
19,1900,0.28125,0.09375
20,2000,0.28125,0.0625
21,2100,0.15625,0.0
22,2200,0.21875,0.15625
23,2300,0.28125,0.09375
24,2400,0.25,0.40625
25,2500,0.21875,0.21875
26,2600,0.15625,0.25
27,2700,0.0625,0.46875
28,2800,0.0625,0.28125
29,2900,0.125,0.0
30,3000,0.15625,0.3125
31,3100,0.0,0.15625
32,3200,0.375,0.21875
33,3300,0.125,0.28125
34,3400,0.21875,0.21875
35,3500,0.21875,0.15625
36,3600,0.28125,0.28125
37,3700,0.0625,0.25
38,3800,0.0625,0.28125
39,3900,0.125,0.15625
40,4000,0.15625,0.0625
41,4100,0.09375,0.4375
42,4200,0.28125,0.3125
43,4300,0.25,0.03125
44,4400,0.0625,0.125
45,4500,0.125,0.0
46,4600,0.28125,0.03125
47,4700,0.34375,0.28125
48,4800,0.4375,0.09375
49,4900,0.40625,0.0625
50,5000,0.0,0.0625
51,5100,0.21875,0.0625
52,5200,0.21875,0.09375
53,5300,0.0625,0.0625
54,5400,0.0625,0.0625
55,5500,0.0625,0.09375
56,5600,0.0625,0.0625
57,5700,0.28125,0.1875
58,5800,0.21875,0.21875
59,5900,0.15625,0.15625
60,6000,0.4375,0.21875
61,6100,0.21875,0.21875
62,6200,0.15625,0.15625
63,6300,0.0,0.0
64,6400,0.1875,0.0625
65,6500,0.40625,0.09375
66,6600,0.0625,0.0625
67,6700,0.21875,0.15625
68,6800,0.0625,0.25
69,6900,0.28125,0.0625
70,7000,0.0,0.03125
71,7100,0.34375,0.0625
72,7200,0.25,0.09375
73,7300,0.0625,0.125
74,7400,0.0625,0.15625
75,7500,0.15625,0.21875
76,7600,0.0625,0.21875
77,7700,0.09375,0.0625
78,7800,0.28125,0.03125
79,7900,0.0625,0.125
80,8000,0.0625,0.46875
81,8100,0.0625,0.0625
82,8200,0.21875,0.21875
83,8300,0.21875,0.15625
84,8400,0.0,0.09375
85,8500,0.0625,0.25
86,8600,0.0625,0.28125
87,8700,0.21875,0.0
88,8800,0.0625,0.0625
89,8900,0.21875,0.0
90,9000,0.28125,0.09375
91,9100,0.34375,0.0
92,9200,0.0625,0.0
93,9300,0.21875,0.21875
94,9400,0.0625,0.25
95,9500,0.15625,0.09375
96,9600,0.09375,0.46875
97,9700,0.125,0.0625
98,9800,0.0625,0.0625
99,9900,0.09375,0.0625
100,10000,0.0625,0.0625
101,10100,0.0,0.0625
102,10200,0.21875,0.09375
103,10300,0.0,0.0
104,10400,0.21875,0.21875
105,10500,0.09375,0.09375
106,10600,0.09375,0.15625
107,10700,0.4375,0.03125
108,10800,0.0625,0.375
109,10900,0.0625,0.21875
110,11000,0.21875,0.09375
111,11100,0.15625,0.3125
112,11200,0.21875,0.28125
113,11300,0.15625,0.21875
114,11400,0.375,0.375
115,11500,0.0625,0.15625
116,11600,0.28125,0.21875
117,11700,0.15625,0.0625
118,11800,0.15625,0.0625
119,11900,0.15625,0.15625
120,12000,0.4375,0.09375
121,12100,0.0,0.09375
122,12200,0.4375,0.15625
123,12300,0.21875,0.25
124,12400,0.0,0.1875
125,12500,0.40625,0.125
126,12600,0.25,0.0625
127,12700,0.46875,0.34375
128,12800,0.15625,0.15625
129,12900,0.15625,0.0625
130,13000,0.0,0.0625
131,13100,0.3125,0.0625
132,13200,0.09375,0.15625
133,13300,0.3125,0.375
134,13400,0.21875,0.09375
135,13500,0.1875,0.15625
136,13600,0.28125,0.0
137,13700,0.0,0.15625
138,13800,0.15625,0.21875
139,13900,0.34375,0.3125
140,14000,0.21875,0.375
141,14100,0.15625,0.0625
142,14200,0.125,0.28125
143,14300,0.15625,0.15625
144,14400,0.28125,0.15625
145,14500,0.25,0.21875
146,14600,0.21875,0.21875
147,14700,0.40625,0.15625
148,14800,0.21875,0.28125
149,14900,0.4375,0.0625
150,15000,0.28125,0.21875
151,15100,0.15625,0.40625
152,15200,0.15625,0.3125
153,15300,0.21875,0.15625
154,15400,0.0625,0.0625
155,15500,0.40625,0.15625
156,15600,0.0625,0.15625
157,15700,0.0625,0.15625
158,15800,0.0625,0.0
159,15900,0.0,0.1875
160,16000,0.21875,0.5
161,16100,0.21875,0.21875
162,16200,0.15625,0.15625
163,16300,0.15625,0.0625
164,16400,0.3125,0.21875
165,16500,0.28125,0.34375
166,16600,0.21875,0.0625
167,16700,0.34375,0.3125
168,16800,0.0,0.0625
169,16900,0.15625,0.15625
170,17000,0.34375,0.09375
171,17100,0.15625,0.0625
172,17200,0.15625,0.15625
173,17300,0.15625,0.15625
174,17400,0.15625,0.0625
175,17500,0.21875,0.0625
176,17600,0.25,0.34375
177,17700,0.21875,0.21875
178,17800,0.21875,0.21875
179,17900,0.15625,0.21875
180,18000,0.0625,0.46875
181,18100,0.0,0.25
182,18200,0.15625,0.03125
183,18300,0.15625,0.15625
184,18400,0.15625,0.15625
185,18500,0.59375,0.15625
186,18600,0.0,0.0625
187,18700,0.15625,0.40625
188,18800,0.0625,0.0625
189,18900,0.28125,0.15625
190,19000,0.15625,0.15625
191,19100,0.09375,0.0
192,19200,0.15625,0.46875
193,19300,0.21875,0.0625
194,19400,0.125,0.125
195,19500,0.15625,0.0625
196,19600,0.15625,0.21875
197,19700,0.0625,0.4375
198,19800,0.0625,0.15625
199,19900,0.15625,0.15625
200,20000,0.46875,0.0625
201,20100,0.09375,0.0625
202,20200,0.15625,0.3125
203,20300,0.0625,0.28125
204,20400,0.0625,0.0625
205,20500,0.09375,0.09375
206,20600,0.15625,0.09375
207,20700,0.28125,0.0625
208,20800,0.0625,0.15625
209,20900,0.0625,0.21875
210,21000,0.0,0.28125
211,21100,0.0625,0.40625
212,21200,0.21875,0.28125
213,21300,0.15625,0.25
214,21400,0.21875,0.21875
215,21500,0.15625,0.25
216,21600,0.15625,0.15625
217,21700,0.34375,0.0
218,21800,0.3125,0.25
219,21900,0.25,0.21875
220,22000,0.21875,0.125
221,22100,0.40625,0.28125
222,22200,0.15625,0.0625
223,22300,0.28125,0.0625
224,22400,0.15625,0.34375
225,22500,0.0625,0.15625
226,22600,0.0625,0.0625
227,22700,0.09375,0.125
228,22800,0.25,0.21875
229,22900,0.21875,0.125
230,23000,0.59375,0.59375
231,23100,0.21875,0.1875
232,23200,0.28125,0.21875
233,23300,0.125,0.25
234,23400,0.15625,0.125
235,23500,0.15625,0.15625
236,23600,0.15625,0.28125
237,23700,0.1875,0.15625
238,23800,0.21875,0.21875
239,23900,0.25,0.28125
240,24000,0.15625,0.21875
241,24100,0.0625,0.21875
242,24200,0.21875,0.21875
243,24300,0.21875,0.3125
244,24400,0.15625,0.0625
245,24500,0.1875,0.15625
246,24600,0.21875,0.125
247,24700,0.21875,0.21875
248,24800,0.21875,0.25
249,24900,0.375,0.15625
250,25000,0.21875,0.15625
251,25100,0.21875,0.15625
252,25200,0.25,0.125
253,25300,0.125,0.15625
254,25400,0.25,0.15625
255,25500,0.21875,0.0625
256,25600,0.21875,0.21875
257,25700,0.21875,0.25
258,25800,0.15625,0.21875
259,25900,0.25,0.3125
260,26000,0.21875,0.25
261,26100,0.34375,0.21875
262,26200,0.21875,0.21875
263,26300,0.15625,0.28125
264,26400,0.15625,0.21875
265,26500,0.15625,0.15625
266,26600,0.21875,0.1875
267,26700,0.21875,0.15625
268,26800,0.3125,0.34375
269,26900,0.21875,0.15625
270,27000,0.21875,0.21875
271,27100,0.28125,0.25
272,27200,0.15625,0.21875
273,27300,0.28125,0.15625
274,27400,0.15625,0.125
275,27500,0.21875,0.21875
276,27600,0.15625,0.3125
277,27700,0.46875,0.0
278,27800,0.0625,0.5
279,27900,0.0625,0.0625
280,28000,0.09375,0.0625
281,28100,1.0,0.4375
282,28200,0.6875,0.6875
283,28300,1.0,0.625
284,28400,1.0,0.6875
285,28500,0.625,0.84375
286,28600,0.6875,0.6875
287,28700,0.71875,1.0
288,28800,0.78125,1.0
289,28900,1.0,1.0
290,29000,1.0,1.0
291,29100,1.0,1.0
292,29200,0.78125,0.90625
293,29300,1.0,0.875
294,29400,0.6875,1.0
295,29500,0.8125,0.90625
296,29600,1.0,1.0
297,29700,1.0,1.0
298,29800,0.90625,1.0
299,29900,1.0,1.0
300,30000,0.6875,0.6875
